count,temperature,P1
0,0.5,0.6
0,0.5,0.5333333333
0,0.5,0.4
0,0.5,0.3333333333
0,0.5,0.7333333333
0,0.5,0.4666666667
0,0.5,0.6
0,0.5,0.4
0,0.5,0.6666666667
0,0.5,0.5333333333
0,1.5,0.5333333333
0,1.5,0.6666666667
0,1.5,0.7333333333
0,1.5,0.4666666667
0,1.5,0.5333333333
0,1.5,0.7333333333
0,1.5,0.6
0,1.5,0.6
0,1.5,0.4666666667
0,1.5,0.5333333333
0,1,0.5333333333
0,1,0.6666666667
0,1,0.8
0,1,0.6
0,1,0.7333333333
0,1,0.5333333333
0,1,0.4666666667
0,1,0.6666666667
0,1,0.4
0,1,0.7333333333
0,1.25,0.7333333333
0,1.25,0.5333333333
0,1.25,0.6
0,1.25,0.4
0,1.25,0.4
0,1.25,0.6666666667
0,1.25,0.6
0,1.25,0.3333333333
0,1.25,0.4666666667
0,1.25,0.4
0,0.75,0.4
0,0.75,0.4666666667
0,0.75,0.4
0,0.75,0.8
0,0.75,0.7333333333
0,0.75,0.6
0,0.75,0.7333333333
0,0.75,0.4666666667
0,0.75,0.7333333333
0,0.75,0.3333333333
1,0.5,0
1,0.5,0.1333333333
1,0.5,0.2
1,0.5,0.06666666667
1,0.5,0
1,0.5,0.3333333333
1,0.5,0.3333333333
1,0.5,0.1333333333
1,0.5,0.6
1,0.5,0
1,1.5,0.2
1,1.5,0
1,1.5,0.6666666667
1,1.5,0
1,1.5,0.3333333333
1,1.5,0
1,1.5,0.06666666667
1,1.5,0
1,1.5,0
1,1.5,0.5333333333
1,1,0
1,1,0.4666666667
1,1,0
1,1,0.3333333333
1,1,0.6
1,1,0
1,1,0.4
1,1,0.7333333333
1,1,0.2666666667
1,1,0.2666666667
1,1.25,0.3333333333
1,1.25,0.4666666667
1,1.25,0.2666666667
1,1.25,0
1,1.25,0.3333333333
1,1.25,0.4
1,1.25,0.2666666667
1,1.25,0.4666666667
1,1.25,0.2
1,1.25,0.2666666667
1,0.75,0.4666666667
1,0.75,0.6666666667
1,0.75,0.2666666667
1,0.75,0.2666666667
1,0.75,0.2
1,0.75,0.3333333333
1,0.75,0.06666666667
1,0.75,0.2666666667
1,0.75,0.2666666667
1,0.75,0.06666666667
2,0.5,0.4666666667
2,0.5,0.3333333333
2,0.5,0.6666666667
2,0.5,0.6666666667
2,0.5,0.3333333333
2,0.5,0.4666666667
2,0.5,0.4
2,0.5,0.2666666667
2,0.5,0.3333333333
2,0.5,0.6
2,1.5,0.2
2,1.5,0.1333333333
2,1.5,0.2666666667
2,1.5,0.4
2,1.5,0.06666666667
2,1.5,0.06666666667
2,1.5,0.3333333333
2,1.5,0.3333333333
2,1.5,0.4
2,1.5,0.4666666667
2,0.75,0.2666666667
2,0.75,0.2666666667
2,0.75,0.3333333333
2,0.75,0.4
2,0.75,0.7333333333
2,0.75,0.2
2,0.75,0.2
2,0.75,0.3333333333
2,0.75,0.6
2,0.75,0.4
2,1.25,0
2,1.25,0.6666666667
2,1.25,0.06666666667
2,1.25,0.4
2,1.25,0
2,1.25,0
2,1.25,0
2,1.25,0.2666666667
2,1.25,0.2
2,1.25,0.2666666667
2,1,0.6
2,1,0.2666666667
2,1,0.6666666667
2,1,0.6666666667
2,1,0
2,1,0.7333333333
2,1,0.4666666667
2,1,0.2666666667
2,1,0.6
2,1,0.4666666667
3,0.5,0.4
3,0.5,0.4
3,0.5,0.3333333333
3,0.5,0.2666666667
3,0.5,0
3,0.5,0.4666666667
3,0.5,0.6
3,0.5,0.2666666667
3,0.5,0.06666666667
3,0.5,0.6666666667
3,0.75,0.2666666667
3,0.75,0.3333333333
3,0.75,0.06666666667
3,0.75,0.6666666667
3,0.75,0.3333333333
3,0.75,0.3333333333
3,0.75,0.6666666667
3,0.75,0.3333333333
3,0.75,0.6
3,0.75,0.4
3,1.25,0.6
3,1.25,0.2666666667
3,1.25,0.3333333333
3,1.25,0.3333333333
3,1.25,0.4
3,1.25,0.06666666667
3,1.25,0.6
3,1.25,0.6
3,1.25,0.4666666667
3,1.25,0.4
3,1.5,0.3333333333
3,1.5,0.7333333333
3,1.5,0.4
3,1.5,0.7333333333
3,1.5,0.2666666667
3,1.5,0.3333333333
3,1.5,0.5333333333
3,1.5,0.6666666667
3,1.5,0.4666666667
3,1.5,0.7333333333
3,1,0.4
3,1,0.1333333333
3,1,0.3333333333
3,1,0.4666666667
3,1,0.7333333333
3,1,0.4666666667
3,1,0.2666666667
3,1,0.2
3,1,0.06666666667
3,1,0.6
4,0.5,0.3333333333
4,0.5,0.2666666667
