,genCQ,expertCQ,cos_score
0,What are the core concepts in the Human-Computer Interaction (HCI) domain?,What is a human–computer interaction?,0.7164
1,What are the core concepts in the Human-Computer Interaction (HCI) domain?,How can a user interact in human–computer interactions?,0.6333
2,What are the core concepts in the Human-Computer Interaction (HCI) domain?,What is a complex interactive computer system?,0.6178
3,What are some examples of input and output interaction components in HCI systems?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.6130
4,What are the core concepts in the Human-Computer Interaction (HCI) domain?,What does make up the user interface of an interactive computer system?,0.5859
5,What are some examples of input and output interaction components in HCI systems?,What does make up the user interface of an interactive computer system?,0.5845
6,What are some examples of input and output interaction components in HCI systems?,How is a user input processed by an interactive computer system?,0.5831
7,What are some examples of input and output interaction components in HCI systems?,What is a complex interactive computer system?,0.5788
8,What are some examples of input and output interaction components in HCI systems?,What is an interactive computer system?,0.5571
9,What are some examples of input and output interaction components in HCI systems?,How does a user receive an output from an interactive computer system?,0.5481
10,How can user characteristics influence the adaptation of user interfaces in HCI?,What does make up the user interface of an interactive computer system?,0.5441
11,What are the core concepts in the Human-Computer Interaction (HCI) domain?,What is an interactive computer system?,0.5421
12,Which sensory and motor abilities are crucial for defining interaction modalities in HCI?,How can a user interact in human–computer interactions?,0.5304
13,How can user characteristics influence the adaptation of user interfaces in HCI?,How can a user interact in human–computer interactions?,0.5221
14,Which sensory and motor abilities are crucial for defining interaction modalities in HCI?,What is a human–computer interaction?,0.5144
15,How can ontological models help in designing multimodal user interfaces?,What does make up the user interface of an interactive computer system?,0.5091
16,What are some examples of input and output interaction components in HCI systems?,How can a user interact in human–computer interactions?,0.5084
17,What are some examples of input and output interaction components in HCI systems?,What is a human–computer interaction?,0.5072
18,How can ontological models help in designing multimodal user interfaces?,How can a user interact in human–computer interactions?,0.5067
19,How do ontologies handle the dynamic adaptation of user interfaces based on real-time user interactions?,What does make up the user interface of an interactive computer system?,0.5046
20,How do ontologies handle the dynamic adaptation of user interfaces based on real-time user interactions?,How can a user interact in human–computer interactions?,0.5035
21,How can ontological reasoning support the generation of adaptive user interfaces?,What does make up the user interface of an interactive computer system?,0.4976
22,What physical and logical interaction resources are modeled in HCI ontologies?,What is a complex interactive computer system?,0.4943
23,What are some examples of input and output interaction components in HCI systems?,What is an interactive software system?,0.4864
24,What are the core concepts in the Human-Computer Interaction (HCI) domain?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4850
25,What are the core concepts in the Human-Computer Interaction (HCI) domain?,What does make up a complex user participation?,0.4840
26,Which sensory and motor abilities are crucial for defining interaction modalities in HCI?,What does make up the user interface of an interactive computer system?,0.4837
