,genCQ,expertCQ,cos_score
0,What are the main components of human-computer interaction?,What is a human–computer interaction?,0.7888
1,How are user tasks modeled in interactive systems?,What does make up the user interface of an interactive computer system?,0.7285
2,How are user tasks modeled in interactive systems?,What is an interactive computer system?,0.7248
3,How are user tasks modeled in interactive systems?,How is a user input processed by an interactive computer system?,0.7194
4,What are the main components of human-computer interaction?,How can a user interact in human–computer interactions?,0.7173
5,How are user tasks modeled in interactive systems?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.7104
6,How are user tasks modeled in interactive systems?,What is an interactive software system?,0.7050
7,What are the main components of human-computer interaction?,What does make up the user interface of an interactive computer system?,0.6900
8,How are user tasks modeled in interactive systems?,What is a complex interactive computer system?,0.6711
9,What are the main components of human-computer interaction?,What is a complex interactive computer system?,0.6541
10,What are the main components of human-computer interaction?,What is an interactive computer system?,0.6371
11,How are user tasks modeled in interactive systems?,"Considering intentionality, how can a user interact with an interactive computer system?",0.6326
12,What types of user interfaces exist within HCI?,What does make up the user interface of an interactive computer system?,0.6324
13,How are user tasks modeled in interactive systems?,Why does a user intentionally interact with an interactive computer system?,0.6311
14,How are user tasks modeled in interactive systems?,How can a user interact in human–computer interactions?,0.6240
15,How are user tasks modeled in interactive systems?,How does a user receive an output from an interactive computer system?,0.6032
16,How does the interaction context affect the design of HCI systems?,What does make up the user interface of an interactive computer system?,0.5771
17,What types of user interfaces exist within HCI?,What is a human–computer interaction?,0.5737
18,How are user tasks modeled in interactive systems?,What is a human–computer interaction?,0.5711
19,How does the interaction context affect the design of HCI systems?,How can a user interact in human–computer interactions?,0.5592
20,What types of user interfaces exist within HCI?,How can a user interact in human–computer interactions?,0.5581
21,How does the interaction context affect the design of HCI systems?,Why does a user intentionally interact with an interactive computer system?,0.5580
22,What are the principles of usability in HCI?,What is a human–computer interaction?,0.5574
23,What are the principles of usability in HCI?,How can a user interact in human–computer interactions?,0.5571
24,What are the main components of human-computer interaction?,Why does a user intentionally interact with an interactive computer system?,0.5517
25,How does the interaction context affect the design of HCI systems?,What is a complex interactive computer system?,0.5506
26,How does the interaction context affect the design of HCI systems?,What is a human–computer interaction?,0.5499
27,What are the main components of human-computer interaction?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5447
28,What are the main components of human-computer interaction?,How is a user input processed by an interactive computer system?,0.5411
29,What are the main components of human-computer interaction?,What is an interactive software system?,0.5371
30,Which user characteristics are considered in HCI design?,What does make up the user interface of an interactive computer system?,0.5340
31,Which methods are used to evaluate user satisfaction in HCI?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.5329
32,What types of user interfaces exist within HCI?,What is a complex interactive computer system?,0.5316
33,What are the principles of usability in HCI?,What does make up the user interface of an interactive computer system?,0.5314
34,How are user tasks modeled in interactive systems?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.5213
35,What are the main components of human-computer interaction?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5173
36,What types of user interfaces exist within HCI?,What is an interactive computer system?,0.5150
37,How are user tasks modeled in interactive systems?,What does make up a complex user participation?,0.5123
38,How does the interaction context affect the design of HCI systems?,What is an interactive computer system?,0.5042
39,What types of user interfaces exist within HCI?,What is an interactive software system?,0.4977
40,How is user feedback collected and analyzed in HCI?,How can a user interact in human–computer interactions?,0.4923
41,How are user tasks modeled in interactive systems?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4908
42,Which user characteristics are considered in HCI design?,What does make up a complex user participation?,0.4906
43,How does the interaction context affect the design of HCI systems?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4904
44,What are the principles of usability in HCI?,What is a complex interactive computer system?,0.4873
45,What are the main components of human-computer interaction?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4839
46,Which user characteristics are considered in HCI design?,How can a user interact in human–computer interactions?,0.4827
47,How is user feedback collected and analyzed in HCI?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4787
48,What are the main components of human-computer interaction?,What does make up a complex user participation?,0.4779
49,How is user feedback collected and analyzed in HCI?,How does a user receive an output from an interactive computer system?,0.4772
50,What role do cognitive models play in HCI?,What is a human–computer interaction?,0.4767
51,Which user characteristics are considered in HCI design?,What is a human–computer interaction?,0.4736
52,What role do cognitive models play in HCI?,What is a complex interactive computer system?,0.4709
53,How is user feedback collected and analyzed in HCI?,What does make up the user interface of an interactive computer system?,0.4697
54,What are the main components of human-computer interaction?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4685
55,How does the interaction context affect the design of HCI systems?,What is an interactive software system?,0.4636
56,How is user feedback collected and analyzed in HCI?,What does make up a complex user participation?,0.4575
