,genCQ,expertCQ,cos_score
0,What are the key components of a Human-Computer Interaction system?,What does make up the user interface of an interactive computer system?,0.7413
1,What are the key components of a Human-Computer Interaction system?,What is a human–computer interaction?,0.7403
2,What are the key components of a Human-Computer Interaction system?,How can a user interact in human–computer interactions?,0.7127
3,What are the key components of a Human-Computer Interaction system?,What is a complex interactive computer system?,0.6981
4,What are the key components of a Human-Computer Interaction system?,What is an interactive computer system?,0.6927
5,What are the key components of a Human-Computer Interaction system?,What is an interactive software system?,0.6052
6,How do interaction mediums influence the usability of an HCI system?,How can a user interact in human–computer interactions?,0.5917
7,What are the key components of a Human-Computer Interaction system?,How is a user input processed by an interactive computer system?,0.5914
8,How do interaction mediums influence the usability of an HCI system?,What does make up the user interface of an interactive computer system?,0.5831
9,How does the cognitive ability of a user affect the interaction design?,How can a user interact in human–computer interactions?,0.5785
10,What are the key components of a Human-Computer Interaction system?,Why does a user intentionally interact with an interactive computer system?,0.5784
11,What are the key components of a Human-Computer Interaction system?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5763
12,What are the key components of a Human-Computer Interaction system?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5652
13,How do interaction mediums influence the usability of an HCI system?,What is a human–computer interaction?,0.5525
14,How does the cognitive ability of a user affect the interaction design?,What does make up the user interface of an interactive computer system?,0.5498
15,How do interaction mediums influence the usability of an HCI system?,What is a complex interactive computer system?,0.5339
16,How does the cognitive ability of a user affect the interaction design?,Why does a user intentionally interact with an interactive computer system?,0.5316
17,What types of interaction components are modeled in HCI ontologies?,What is a complex interactive computer system?,0.5293
18,How do interaction mediums influence the usability of an HCI system?,Why does a user intentionally interact with an interactive computer system?,0.5291
19,How do physical devices for interaction vary based on user's physical capabilities?,What does make up the user interface of an interactive computer system?,0.5228
20,What types of interaction components are modeled in HCI ontologies?,What does make up the user interface of an interactive computer system?,0.5172
21,How does the cognitive ability of a user affect the interaction design?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5165
22,What types of interaction components are modeled in HCI ontologies?,What is a human–computer interaction?,0.5032
23,How does the cognitive ability of a user affect the interaction design?,What is a human–computer interaction?,0.5013
24,How do interaction mediums influence the usability of an HCI system?,What is an interactive computer system?,0.4970
25,How do physical devices for interaction vary based on user's physical capabilities?,How can a user interact in human–computer interactions?,0.4937
26,How does user sensory ability impact the choice of interaction modality?,How can a user interact in human–computer interactions?,0.4930
27,What are the key components of a Human-Computer Interaction system?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4912
28,What types of interaction components are modeled in HCI ontologies?,How can a user interact in human–computer interactions?,0.4837
29,What role do adaptation rules play in the generation of adaptive user interfaces?,What does make up the user interface of an interactive computer system?,0.4836
30,What types of interaction components are modeled in HCI ontologies?,What is an interactive computer system?,0.4747
31,What are the key components of a Human-Computer Interaction system?,How does a user receive an output from an interactive computer system?,0.4746
32,How does the cognitive ability of a user affect the interaction design?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4679
33,How do physical devices for interaction vary based on user's physical capabilities?,Why does a user intentionally interact with an interactive computer system?,0.4670
34,How does the cognitive ability of a user affect the interaction design?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4666
35,What types of interaction components are modeled in HCI ontologies?,What is an interactive software system?,0.4635
36,How do interaction mediums influence the usability of an HCI system?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4595
37,What are the key components of a Human-Computer Interaction system?,What does make up a complex user participation?,0.4559
38,How does the cognitive ability of a user affect the interaction design?,What is an interactive computer system?,0.4557
39,How does the cognitive ability of a user affect the interaction design?,What is a complex interactive computer system?,0.4540
40,How do physical devices for interaction vary based on user's physical capabilities?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4517
41,How do interaction mediums influence the usability of an HCI system?,What is an interactive software system?,0.4473
42,What are the key components of a Human-Computer Interaction system?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4410
43,How does the cognitive ability of a user affect the interaction design?,What does make up a complex user participation?,0.4383
44,How does user sensory ability impact the choice of interaction modality?,What does make up the user interface of an interactive computer system?,0.4357
45,How does the cognitive ability of a user affect the interaction design?,How is a user input processed by an interactive computer system?,0.4348
46,How does the cognitive ability of a user affect the interaction design?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4341
47,How do interaction mediums influence the usability of an HCI system?,How is a user input processed by an interactive computer system?,0.4321
48,How do interaction mediums influence the usability of an HCI system?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4314
49,What are the semantic relationships between different interaction components in an HCI ontology?,What is a human–computer interaction?,0.4314
50,What are the semantic relationships between different interaction components in an HCI ontology?,What does make up the user interface of an interactive computer system?,0.4313
51,What are the semantic relationships between different interaction components in an HCI ontology?,What is a complex interactive computer system?,0.4254
52,What are the semantic relationships between different interaction components in an HCI ontology?,How can a user interact in human–computer interactions?,0.4232
53,How do interaction mediums influence the usability of an HCI system?,What does make up a complex user participation?,0.4192
54,What role do adaptation rules play in the generation of adaptive user interfaces?,How can a user interact in human–computer interactions?,0.4123
55,How do physical devices for interaction vary based on user's physical capabilities?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4121
56,How does user sensory ability impact the choice of interaction modality?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4097
57,How do interaction mediums influence the usability of an HCI system?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4097
58,How does user sensory ability impact the choice of interaction modality?,Why does a user intentionally interact with an interactive computer system?,0.4010
59,How does the cognitive ability of a user affect the interaction design?,What is an interactive software system?,0.3997
60,How do physical devices for interaction vary based on user's physical capabilities?,What is a human–computer interaction?,0.3991
61,What rules are used to infer the most suitable interface for a specific user profile?,What does make up the user interface of an interactive computer system?,0.3965
62,What input modes are available for users with different motor abilities?,How is a user input processed by an interactive computer system?,0.3952
63,How do physical devices for interaction vary based on user's physical capabilities?,How is a user input processed by an interactive computer system?,0.3942
64,How do physical devices for interaction vary based on user's physical capabilities?,What is an interactive computer system?,0.3942
65,How do interaction mediums influence the usability of an HCI system?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.3928
66,What types of interaction components are modeled in HCI ontologies?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3850
67,What types of interaction components are modeled in HCI ontologies?,What does make up a complex user participation?,0.3790
68,How do interaction mediums influence the usability of an HCI system?,How does a user receive an output from an interactive computer system?,0.3784
69,What are the semantic relationships between different interaction components in an HCI ontology?,What is an interactive computer system?,0.3781
70,How does user sensory ability impact the choice of interaction modality?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.3776
71,How do physical devices for interaction vary based on user's physical capabilities?,How does a user receive an output from an interactive computer system?,0.3755
72,How does user sensory ability impact the choice of interaction modality?,What is a human–computer interaction?,0.3753
73,How can an HCI system be personalized based on user profiles?,What does make up the user interface of an interactive computer system?,0.3752
74,How can an HCI system be personalized based on user profiles?,How can a user interact in human–computer interactions?,0.3732
75,What input modes are available for users with different motor abilities?,What does make up the user interface of an interactive computer system?,0.3731
76,What role do adaptation rules play in the generation of adaptive user interfaces?,Why does a user intentionally interact with an interactive computer system?,0.3709
77,How does the cognitive ability of a user affect the interaction design?,How does a user receive an output from an interactive computer system?,0.3705
78,What role do adaptation rules play in the generation of adaptive user interfaces?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3695
79,What types of interaction components are modeled in HCI ontologies?,How is a user input processed by an interactive computer system?,0.3683
80,How do physical devices for interaction vary based on user's physical capabilities?,What is a complex interactive computer system?,0.3656
81,How do physical devices for interaction vary based on user's physical capabilities?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.3643
82,What are the semantic relationships between different interaction components in an HCI ontology?,What is an interactive software system?,0.3622
83,What input modes are available for users with different motor abilities?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3613
84,How does user sensory ability impact the choice of interaction modality?,How is a user input processed by an interactive computer system?,0.3604
85,How do physical devices for interaction vary based on user's physical capabilities?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.3596
86,What types of interaction components are modeled in HCI ontologies?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3592
87,What role do adaptation rules play in the generation of adaptive user interfaces?,How is a user input processed by an interactive computer system?,0.3581
88,How can an HCI system be personalized based on user profiles?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3579
89,What types of interaction components are modeled in HCI ontologies?,Why does a user intentionally interact with an interactive computer system?,0.3579
90,How can ontology-based reasoning be used to determine interface parameters?,What does make up the user interface of an interactive computer system?,0.3574
91,How can an HCI system be personalized based on user profiles?,How is a user input processed by an interactive computer system?,0.3561
92,What role do adaptation rules play in the generation of adaptive user interfaces?,What is a complex interactive computer system?,0.3525
93,What rules are used to infer the most suitable interface for a specific user profile?,How can a user interact in human–computer interactions?,0.3500
94,What role do adaptation rules play in the generation of adaptive user interfaces?,What is an interactive computer system?,0.3487
95,What role do adaptation rules play in the generation of adaptive user interfaces?,What is a human–computer interaction?,0.3467
96,How does user sensory ability impact the choice of interaction modality?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.3439
97,What role do adaptation rules play in the generation of adaptive user interfaces?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.3410
98,What role do adaptation rules play in the generation of adaptive user interfaces?,What does make up a complex user participation?,0.3402
99,What role do adaptation rules play in the generation of adaptive user interfaces?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3397
100,What input modes are available for users with different motor abilities?,How can a user interact in human–computer interactions?,0.3395
101,What are the semantic relationships between different interaction components in an HCI ontology?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3394
102,How can an HCI system be personalized based on user profiles?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.3385
103,How does user sensory ability impact the choice of interaction modality?,What is an interactive computer system?,0.3355
104,How does user sensory ability impact the choice of interaction modality?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3349
105,How can an HCI system be personalized based on user profiles?,What does make up a complex user participation?,0.3344
106,How can an HCI system be personalized based on user profiles?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3332
107,How do physical devices for interaction vary based on user's physical capabilities?,What is an interactive software system?,0.3325
108,What rules are used to infer the most suitable interface for a specific user profile?,What is a User?,0.3315
109,How can an HCI system be personalized based on user profiles?,Why does a user intentionally interact with an interactive computer system?,0.3304
110,How can an HCI system be personalized based on user profiles?,What is a User?,0.3289
111,How do physical devices for interaction vary based on user's physical capabilities?,What does make up a complex user participation?,0.3286
112,What role do adaptation rules play in the generation of adaptive user interfaces?,What is an interactive software system?,0.3245
