count,temperature,values
3,0.5,"[0.4, 0.5, 0.2, 1.0]"
3,0.5,"[0.4, 0.3333333333333333, 0.2, 0.6666666666666666]"
3,0.5,"[0.3333333333333333, 0.4, 0.2, 1.0]"
3,0.5,"[0.26666666666666666, 0.25, 0.06666666666666667, 1.0]"
3,0.5,"[0.0, 0, 0.0, 0]"
3,0.5,"[0.4666666666666667, 0.42857142857142855, 0.2, 1.0]"
3,0.5,"[0.6, 0.2222222222222222, 0.2, 1.0]"
3,0.5,"[0.26666666666666666, 0.25, 0.06666666666666667, 1.0]"
3,0.5,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
3,0.5,"[0.6666666666666666, 0.1, 0.06666666666666667, 1.0]"
10,1.0,"[0.06666666666666667, 1.0, 0.13333333333333333, 0.5]"
10,1.0,"[0.3333333333333333, 0.4, 0.2, 0.6666666666666666]"
10,1.0,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
10,1.0,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
10,1.0,"[0.5333333333333333, 0.25, 0.2, 1.0]"
10,1.0,"[0.3333333333333333, 0.2, 0.06666666666666667, 1.0]"
10,1.0,"[0.4, 0.5, 0.26666666666666666, 0.5]"
10,1.0,"[0.3333333333333333, 0.2, 0.06666666666666667, 1.0]"
10,1.0,"[0.6, 0.2222222222222222, 0.26666666666666666, 1.0]"
10,1.0,"[0.6, 0.2222222222222222, 0.2, 0.6666666666666666]"
3,0.75,"[0.26666666666666666, 0.25, 0.06666666666666667, 1.0]"
3,0.75,"[0.3333333333333333, 0.4, 0.2, 0.6666666666666666]"
3,0.75,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
3,0.75,"[0.6666666666666666, 0.3, 0.2, 0.6666666666666666]"
3,0.75,"[0.3333333333333333, 0.2, 0.06666666666666667, 1.0]"
3,0.75,"[0.3333333333333333, 0.4, 0.13333333333333333, 1.0]"
3,0.75,"[0.6666666666666666, 0.3, 0.26666666666666666, 1.0]"
3,0.75,"[0.3333333333333333, 0.4, 0.13333333333333333, 1.0]"
3,0.75,"[0.6, 0.2222222222222222, 0.13333333333333333, 1.0]"
3,0.75,"[0.4, 0.3333333333333333, 0.2, 1.0]"
2,0.5,"[0.4666666666666667, 0.2857142857142857, 0.13333333333333333, 0.5]"
2,0.5,"[0.3333333333333333, 0.2, 0.3333333333333333, 0.8]"
2,0.5,"[0.6666666666666666, 0.1, 0.13333333333333333, 0.5]"
2,0.5,"[0.6666666666666666, 0.2, 0.4, 0.5]"
2,0.5,"[0.3333333333333333, 0.4, 0.13333333333333333, 0.5]"
2,0.5,"[0.4666666666666667, 0.2857142857142857, 0.13333333333333333, 1.0]"
2,0.5,"[0.4, 0.5, 0.2, 1.0]"
2,0.5,"[0.26666666666666666, 0.25, 0.13333333333333333, 1.0]"
2,0.5,"[0.3333333333333333, 0.4, 0.13333333333333333, 1.0]"
2,0.5,"[0.6, 0.2222222222222222, 0.13333333333333333, 0.5]"
1,0.5,"[0.0, 0, 0.0, 0]"
1,0.5,"[0.13333333333333333, 0.5, 0.06666666666666667, 1.0]"
1,0.5,"[0.2, 0.3333333333333333, 0.06666666666666667, 1.0]"
1,0.5,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
1,0.5,"[0.0, 0, 0.0, 0]"
1,0.5,"[0.3333333333333333, 0.2, 0.13333333333333333, 1.0]"
1,0.5,"[0.3333333333333333, 0.2, 0.06666666666666667, 1.0]"
1,0.5,"[0.13333333333333333, 0.5, 0.06666666666666667, 1.0]"
1,0.5,"[0.6, 0.2222222222222222, 0.13333333333333333, 1.0]"
1,0.5,"[0.0, 0, 0.0, 0]"
0,0.5,"[0.6, 0.3333333333333333, 0.3333333333333333, 0.6]"
0,0.5,"[0.5333333333333333, 0.25, 0.4, 0.3333333333333333]"
0,0.5,"[0.4, 0.3333333333333333, 0.26666666666666666, 0.75]"
0,0.5,"[0.3333333333333333, 0.6, 0.26666666666666666, 0.75]"
0,0.5,"[0.7333333333333333, 0.18181818181818182, 0.4666666666666667, 0.42857142857142855]"
0,0.5,"[0.4666666666666667, 0.2857142857142857, 0.26666666666666666, 0.75]"
0,0.5,"[0.6, 0.3333333333333333, 0.3333333333333333, 0.8]"
0,0.5,"[0.4, 0.3333333333333333, 0.26666666666666666, 0.75]"
0,0.5,"[0.6666666666666666, 0.3, 0.4, 1.0]"
0,0.5,"[0.5333333333333333, 0.25, 0.4666666666666667, 0.5714285714285714]"
4,0.5,"[0.3333333333333333, 0.2, 0.06666666666666667, 1.0]"
4,0.5,"[0.26666666666666666, 0.25, 0.06666666666666667, 1.0]"
4,0.5,"[0.06666666666666667, 1.0, 0.06666666666666667, 1.0]"
4,0.5,"[0.26666666666666666, 0.5, 0.13333333333333333, 1.0]"
4,0.5,"[0.13333333333333333, 0.5, 0.06666666666666667, 1.0]"
4,0.5,"[0.3333333333333333, 0.2, 0.06666666666666667, 1.0]"
4,0.5,"[0.0, 0, 0.0, 0]"
4,0.5,"[0.4, 0.3333333333333333, 0.13333333333333333, 1.0]"
4,0.5,"[0.5333333333333333, 0.375, 0.2, 1.0]"
4,0.5,"[0.3333333333333333, 0.2, 0.06666666666666667, 1.0]"
10,1.5,"[0.2, 0.3333333333333333, 0.13333333333333333, 1.0]"
10,1.5,"[0.2, 0.6666666666666666, 0.13333333333333333, 1.0]"
10,1.5,"[0.26666666666666666, 0.25, 0.06666666666666667, 1.0]"
10,1.5,"[0.3333333333333333, 0.4, 0.26666666666666666, 1.0]"
10,1.5,"[0.7333333333333333, 0.2727272727272727, 0.4666666666666667, 0.5714285714285714]"
10,1.5,"[0.26666666666666666, 0.25, 0.06666666666666667, 1.0]"
10,1.5,"[0.4666666666666667, 0.14285714285714285, 0.06666666666666667, 1.0]"
10,1.5,"[0.7333333333333333, 0.2727272727272727, 0.2, 0.6666666666666666]"
10,1.5,"[0.3333333333333333, 0.4, 0.13333333333333333, 1.0]"
10,1.5,"[0.4, 0.3333333333333333, 0.13333333333333333, 1.0]"
3,1.25,"[0.6, 0.2222222222222222, 0.26666666666666666, 0.5]"
3,1.25,"[0.26666666666666666, 0.25, 0.06666666666666667, 1.0]"
3,1.25,"[0.3333333333333333, 0.2, 0.13333333333333333, 1.0]"
