count,temperature,P1
0,0.5,0.02597402597
0,0.5,0
0,0.5,0.02597402597
0,0.5,0.07792207792
0,0.5,0.05194805195
0,0.5,0
0,0.5,0
0,0.5,0.02597402597
0,0.5,0.07792207792
0,0.5,0.06493506494
0,1.5,0.05194805195
0,1.5,0.1298701299
0,1.5,0.05194805195
0,1.5,0.05194805195
0,1.5,0.09090909091
0,1.5,0.01298701299
0,1.5,0.1168831169
0,1.5,0.01298701299
0,1.5,0.05194805195
0,1.5,0.03896103896
0,1,0.03896103896
0,1,0.02597402597
0,1,0.1818181818
0,1,0.06493506494
0,1,0.07792207792
0,1,0.03896103896
0,1,0.02597402597
0,1,0.01298701299
0,1,0.02597402597
0,1,0.02597402597
0,1.25,0.02597402597
0,1.25,0.02597402597
0,1.25,0.05194805195
0,1.25,0.03896103896
0,1.25,0.01298701299
0,1.25,0.07792207792
0,1.25,0.03896103896
0,1.25,0.07792207792
0,1.25,0.03896103896
0,1.25,0.03896103896
0,0.75,0.05194805195
0,0.75,0.1298701299
0,0.75,0.07792207792
0,0.75,0.1558441558
0,0.75,0.07792207792
0,0.75,0.02597402597
0,0.75,0.01298701299
0,0.75,0.01298701299
0,0.75,0.06493506494
0,0.75,0.06493506494
1,0.5,0.4285714286
1,0.5,0.4285714286
1,0.5,0.4805194805
1,0.5,0.4545454545
1,0.5,0.4415584416
1,0.5,0.4805194805
1,0.5,0.4155844156
1,0.5,0.4155844156
1,0.5,0.5064935065
1,0.5,0.2467532468
1,1.5,0.2857142857
1,1.5,0.2077922078
1,1.5,0.1428571429
1,1.5,0.3636363636
1,1.5,0.3636363636
1,1.5,0.2987012987
1,1.5,0.4675324675
1,1.5,0.3766233766
1,1.5,0.3636363636
1,1.5,0.4025974026
1,1,0.1948051948
1,1,0.3896103896
1,1,0.3896103896
1,1,0.1038961039
1,1,0.3896103896
1,1,0.2857142857
1,1,0.4025974026
1,1,0.4935064935
1,1,0.4025974026
1,1,0.3636363636
1,1.25,0.4935064935
1,1.25,0.4155844156
1,1.25,0.4545454545
1,1.25,0.1428571429
1,1.25,0.4545454545
1,1.25,0.2987012987
1,1.25,0.3636363636
1,1.25,0.09090909091
1,1.25,0.1948051948
1,1.25,0.3896103896
1,0.75,0.3506493506
1,0.75,0.4805194805
1,0.75,0.2727272727
1,0.75,0.4675324675
1,0.75,0.2987012987
1,0.75,0.2987012987
1,0.75,0.4155844156
1,0.75,0.5194805195
1,0.75,0.5064935065
1,0.75,0.4545454545
2,0.5,0.09090909091
2,0.5,0
2,0.5,0.1818181818
2,0.5,0.05194805195
2,0.5,0.1428571429
2,0.5,0.2857142857
2,0.5,0.1298701299
2,0.5,0.09090909091
2,0.5,0.06493506494
2,0.5,0.3116883117
2,1.5,0.1948051948
2,1.5,0.1298701299
2,1.5,0.1688311688
2,1.5,0.1818181818
2,1.5,0.2857142857
2,1.5,0.1298701299
2,1.5,0.02597402597
2,1.5,0.2337662338
2,1.5,0.2987012987
2,1.5,0.06493506494
2,0.75,0.02597402597
2,0.75,0.2077922078
2,0.75,0.06493506494
2,0.75,0.2597402597
2,0.75,0.3896103896
2,0.75,0.2077922078
2,0.75,0.2727272727
2,0.75,0.3116883117
2,0.75,0.2207792208
2,0.75,0.2337662338
2,1.25,0.3246753247
2,1.25,0.02597402597
2,1.25,0.3246753247
2,1.25,0.2467532468
2,1.25,0.2727272727
2,1.25,0.2467532468
2,1.25,0.09090909091
2,1.25,0.2337662338
2,1.25,0.1168831169
2,1.25,0.2727272727
2,1,0.2077922078
2,1,0.02597402597
2,1,0.1818181818
2,1,0.1818181818
2,1,0.3246753247
2,1,0.09090909091
2,1,0.1038961039
2,1,0.1298701299
2,1,0.2987012987
2,1,0.1298701299
3,0.5,0.2467532468
3,0.5,0.2857142857
3,0.5,0.2207792208
3,0.5,0.2077922078
3,0.5,0.2597402597
3,0.5,0.2467532468
3,0.5,0.2077922078
3,0.5,0.2467532468
3,0.5,0.2597402597
3,0.5,0.1298701299
3,0.75,0.1558441558
3,0.75,0.05194805195
3,0.75,0.2337662338
3,0.75,0.3636363636
3,0.75,0.2597402597
3,0.75,0.3896103896
3,0.75,0.2207792208
3,0.75,0.2727272727
3,0.75,0.1038961039
3,0.75,0.03896103896
3,1.25,0.09090909091
3,1.25,0.2857142857
3,1.25,0.2337662338
3,1.25,0.06493506494
3,1.25,0.05194805195
3,1.25,0.1428571429
3,1.25,0.06493506494
3,1.25,0.1948051948
3,1.25,0.2987012987
3,1.25,0.2207792208
3,1.5,0.3116883117
3,1.5,0.02597402597
3,1.5,0.06493506494
3,1.5,0.01298701299
3,1.5,0.1948051948
3,1.5,0.2467532468
3,1.5,0.1038961039
3,1.5,0.1948051948
3,1.5,0.2597402597
3,1.5,0.2207792208
3,1,0.3116883117
3,1,0.2337662338
3,1,0.2337662338
3,1,0.1298701299
3,1,0.05194805195
3,1,0.1038961039
3,1,0.2727272727
3,1,0.05194805195
3,1,0.09090909091
3,1,0.3246753247
4,0.5,0.1298701299
4,0.5,0.1428571429
4,0.5,0.2077922078
4,0.5,0.2597402597
4,0.5,0.1168831169
4,0.5,0.2467532468
4,0.5,0.2857142857
4,0.5,0.2467532468
4,0.5,0.2337662338
4,0.5,0.3636363636
4,1,0.3246753247
4,1,0.06493506494
4,1,0.1298701299
4,1,0.3376623377
4,1,0.2337662338
4,1,0.3506493506
4,1,0.3246753247
4,1,0.03896103896
4,1,0.2857142857
4,1,0.2987012987
4,1.5,0.03896103896
4,1.5,0.3636363636
