,genCQ,expertCQ,cos_score
0,What methods are used to synthesize evidence in empirical SE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.8421
1,How can the number of empirical studies in software engineering be increased?,How many empirical studies are by authors working for large software development companies?,0.8058
2,What are the most common empirical methods used in software engineering?,How often are which empirical methods used?,0.7774
3,What are the key considerations for selecting empirical methods in SE research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.7465
4,What are the key considerations for selecting empirical methods in SE research?,How often are which empirical methods used?,0.7389
5,How is the relevance of empirical studies in software engineering measured?,How many empirical studies are by authors working for large software development companies?,0.7268
6,How do empirical methods in SE research compare to those in other engineering fields?,How do the authors justify the selection and combination of empirical methods and design elements?,0.7172
7,How are empirical SE research findings disseminated?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7156
8,What are the theoretical underpinnings of empirical research methods in SE?,How do the authors justify the selection and combination of empirical methods and design elements?,0.7147
9,What are the major empirical methods currently used in software engineering research?,How often are which empirical methods used?,0.7139
10,How do empirical studies in SE handle technological advancements and changes?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7114
11,What are the key considerations for selecting empirical methods in SE research?,How many different empirical methods are used per publication?,0.7105
12,What role do systematic reviews play in empirical software engineering?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.7099
13,What are the limitations of current empirical methods in SE research?,How has the number of empirical methods used per publication evolved over time?,0.7095
14,How does empirical research in SE compare to that in other scientific disciplines?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7089
15,What are the most common empirical methods used in software engineering?,How many different empirical methods are used per publication?,0.7073
16,What are the most common empirical methods used in software engineering?,How often are which empirical methods used over time?,0.7070
17,What are the theoretical underpinnings of empirical research methods in SE?,How has the number of empirical methods used per publication evolved over time?,0.7063
18,How can the number of empirical studies in software engineering be increased?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.7058
19,How have empirical methods in software engineering evolved since the 1970s?,How has the number of empirical methods used per publication evolved over time?,0.7024
20,How many high-quality empirical studies are needed annually to support SE practices?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7021
21,What types of empirical research methods are less understood in software engineering?,How often are which empirical methods used?,0.7019
22,What are the most common empirical methods used in software engineering?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6999
23,How can the number of empirical studies in software engineering be increased?,How has the proportion of empirical studies evolved over time?,0.6980
24,What are the key factors influencing the success of empirical SE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6979
25,How can empirical studies in software engineering be replicated?,How many empirical studies are by authors working for large software development companies?,0.6961
26,What are the theoretical underpinnings of empirical research methods in SE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6955
27,How can the quality of empirical studies in software engineering be improved?,How many empirical studies are by authors working for large software development companies?,0.6907
28,How do empirical studies contribute to the validation of SE theories?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6891
29,What role do systematic reviews play in empirical software engineering?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6872
30,What are the potential future directions for empirical SE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6871
31,What are the limitations of current empirical methods in SE research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6868
32,What types of empirical research methods are less understood in software engineering?,How has the number of empirical methods used per publication evolved over time?,0.6866
33,What are the theoretical underpinnings of empirical research methods in SE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6858
34,How do empirical methods in SE research compare to those in other engineering fields?,How often are which empirical methods used?,0.6857
35,What are the theoretical underpinnings of empirical research methods in SE?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6853
36,What are the limitations of current empirical methods in SE research?,How often are which empirical methods used?,0.6845
37,What are the limitations of current empirical methods in SE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6841
38,What are the theoretical underpinnings of empirical research methods in SE?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6840
39,What are the key considerations for selecting empirical methods in SE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6837
40,What are the key considerations for selecting empirical methods in SE research?,How has the number of empirical methods used per publication evolved over time?,0.6830
41,What are the common threats to the validity of empirical SE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6828
42,What are the theoretical underpinnings of empirical research methods in SE?,How often are which empirical methods used?,0.6826
43,What are the major empirical methods currently used in software engineering research?,How many empirical studies are by authors working for large software development companies?,0.6798
44,How does the software engineering community prioritize empirical studies?,How many empirical studies are by authors working for large software development companies?,0.6797
45,What are the characteristics of high-quality empirical software engineering studies?,How many empirical studies are by authors working for large software development companies?,0.6776
46,What frameworks are used to guide empirical SE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6773
47,What are the steps to conducting a systematic literature review in SE?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6765
48,How can empirical SE research contribute to reducing software development costs?,How many empirical studies are by authors working for large software development companies?,0.6763
49,What is the role of case studies in empirical software engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6757
50,What types of empirical research methods are less understood in software engineering?,How many different empirical methods are used per publication?,0.6735
51,What types of empirical research methods are less understood in software engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6733
52,What are the theoretical underpinnings of empirical research methods in SE?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6731
53,What tools and techniques are used in empirical SE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6723
54,What tools and techniques are used in empirical SE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6722
55,What are the emerging trends in empirical software engineering research?,How many empirical studies are by authors working for large software development companies?,0.6720
56,How can the number of empirical studies in software engineering be increased?,How has the number of empirical methods used per publication evolved over time?,0.6709
57,What methods are used to synthesize evidence in empirical SE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6704
58,How have empirical methods in software engineering evolved since the 1970s?,How often are which empirical methods used over time?,0.6702
59,What types of empirical research methods are less understood in software engineering?,How many empirical studies are by authors working for large software development companies?,0.6674
60,What are the key considerations for selecting empirical methods in SE research?,How often are which empirical methods used over time?,0.6674
61,What are the common pitfalls in conducting empirical software engineering studies?,How many empirical studies are by authors working for large software development companies?,0.6672
62,What are the major empirical methods currently used in software engineering research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6657
63,What are the steps to conducting a systematic literature review in SE?,How many publications are analyzed in (systematic literature) reviews?,0.6655
64,What are the most common empirical methods used in software engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6653
65,What are the major empirical methods currently used in software engineering research?,How many different empirical methods are used per publication?,0.6649
66,What tools and techniques are used in empirical SE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6644
67,How can empirical SE studies be designed to minimize bias?,How do the authors justify preventing bias in the study results?,0.6642
