,genCQ,expertCQ,cos_score
0,How has the use of empirical research methods in RE evolved over the past decades?,How has the number of empirical methods used per publication evolved over time?,0.7954
1,What is the state of empirical research in RE according to recent studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7666
2,How has the use of empirical research methods in RE evolved over the past decades?,How has the proportion of empirical studies evolved over time?,0.7662
3,How has the use of empirical research methods in RE evolved over the past decades?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.7625
4,How has the use of empirical research methods in RE evolved over the past decades?,How often are which empirical methods used over time?,0.7606
5,How has the use of empirical research methods in RE evolved over the past decades?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.7537
6,How has the use of empirical research methods in RE evolved over the past decades?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.7517
7,What kind of methodological approaches are used to gather empirical data in RE?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7434
8,How has the use of empirical research methods in RE evolved over the past decades?,How often are which empirical methods used?,0.7400
9,What are the main empirical research questions addressed in broad RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7373
10,What methodologies are used to classify empirical research studies in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7189
11,How do empirical studies address the complexity of SE as a factor in RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7139
12,How has the use of empirical research methods in RE evolved over the past decades?,How do the authors justify the selection and combination of empirical methods and design elements?,0.7116
13,How has the use of empirical research methods in RE evolved over the past decades?,How has the use of statistical methods evolved over time?,0.7097
14,What techniques are most frequently investigated in empirical RE research?,How often are which empirical methods used?,0.7093
15,What are the main theoretical frameworks used in empirical RE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.7061
16,What kind of methodological approaches are used to gather empirical data in RE?,How often are which empirical methods used?,0.7056
17,How has the use of empirical research methods in RE evolved over the past decades?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7029
18,What techniques are most frequently investigated in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6945
19,What techniques are most frequently investigated in empirical RE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6915
20,What techniques are most frequently investigated in empirical RE research?,How often are which empirical methods used over time?,0.6891
21,How do different empirical methods like case studies and experiments contribute to RE knowledge?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6792
22,What is the state of empirical research in RE according to recent studies?,How has the proportion of empirical studies evolved over time?,0.6776
23,How are the results of empirical RE studies typically presented and interpreted?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6772
24,What are the common themes identified in empirical research on RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6772
25,What are the limitations of existing empirical studies on RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6747
26,How has the use of empirical research methods in RE evolved over the past decades?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6732
27,How has the use of empirical research methods in RE evolved over the past decades?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6701
28,What kind of methodological approaches are used to gather empirical data in RE?,How often are which empirical methods used over time?,0.6670
29,What kind of methodological approaches are used to gather empirical data in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6666
30,What is the state of empirical research in RE according to recent studies?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6660
31,Which RE practices have been identified as successful in empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6650
32,What are the main theoretical frameworks used in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6637
33,What gaps have been identified in the empirical research on RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6610
