,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of empirical studies evolved over time?,What are the trends in the geographic distribution of empirical RE research?,0.6442
1,How often are which empirical methods used over time?,What is the role of empirical studies in advancing RE practices?,0.5486
2,Which sub-fields of SE and RE do the empirical studies cover over time?,What are the trends in the geographic distribution of empirical RE research?,0.7102
3, How do the authors justify the lack of a proper study?,What are the main gaps in current RE research?,0.5007
4,How has the proportion of papers that do not have an empirical study evolved over time?,What are the trends in the geographic distribution of empirical RE research?,0.5565
5,How many empirical studies are by authors working for large software development companies?,How do empirical studies on RE influence software engineering education?,0.5957
6,How has the proportion of studies by authors working for large software development companies evolved over time?,How do empirical studies on RE influence software engineering education?,0.5703
7,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",What are the main focuses of RE research over the past decade?,0.5623
8,How do the authors justify the selection and combination of empirical methods and design elements?,What are the common approaches used in empirical Requirements Engineering (RE)?,0.5449
9,How often are which empirical methods used?,What is the role of empirical studies in advancing RE practices?,0.5462
10,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",What are the trends in the geographic distribution of empirical RE research?,0.5847
11,How has the proportion of replications evolved over time?,What are the trends in the geographic distribution of empirical RE research?,0.3755
12,How has the use of triangulation for research design evolved over time?,What are the prevalent RE methodologies in use today?,0.4043
13,How often are those who conduct the studies also the authors of the papers?,What methodologies are used for cross-sectional RE studies?,0.4179
14,How do the authors justify preventing bias in the study results?,What are the implications of empirical RE findings for future research?,0.5
15,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,What is the role of empirical studies in advancing RE practices?,0.4109
16,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,How do different industries adopt and adapt RE practices?,0.6007
17,How often are which statistical methods used?,What are the prevalent RE methodologies in use today?,0.5243
18,How has the use of statistical methods evolved over time?,What are the prevalent RE methodologies in use today?,0.4731
