count,temperature,values
3,0.5,"[0.24675324675324675, 0.3157894736842105, 0.2857142857142857, 0.36363636363636365]"
3,0.5,"[0.2857142857142857, 0.36363636363636365, 0.4155844155844156, 0.28125]"
3,0.5,"[0.22077922077922077, 0.4117647058823529, 0.23376623376623376, 0.3333333333333333]"
3,0.5,"[0.2077922077922078, 0.25, 0.12987012987012986, 0.6]"
3,0.5,"[0.2597402597402597, 0.45, 0.2727272727272727, 0.42857142857142855]"
3,0.5,"[0.24675324675324675, 0.42105263157894735, 0.36363636363636365, 0.32142857142857145]"
3,0.5,"[0.2077922077922078, 0.3125, 0.22077922077922077, 0.35294117647058826]"
3,0.5,"[0.24675324675324675, 0.42105263157894735, 0.15584415584415584, 0.4166666666666667]"
3,0.5,"[0.2597402597402597, 0.5, 0.2857142857142857, 0.36363636363636365]"
3,0.5,"[0.12987012987012986, 0.4, 0.06493506493506493, 0.6]"
10,1.0,"[0.35064935064935066, 0.5555555555555556, 0.38961038961038963, 0.4666666666666667]"
10,1.0,"[0.3116883116883117, 0.5833333333333334, 0.7532467532467533, 0.1896551724137931]"
10,1.0,"[0.2987012987012987, 0.43478260869565216, 0.37662337662337664, 0.27586206896551724]"
10,1.0,"[0.37662337662337664, 0.4827586206896552, 0.4675324675324675, 0.3333333333333333]"
10,1.0,"[0.36363636363636365, 0.39285714285714285, 0.4675324675324675, 0.3611111111111111]"
10,1.0,"[0.2597402597402597, 0.7, 0.38961038961038963, 0.3333333333333333]"
10,1.0,"[0.33766233766233766, 0.38461538461538464, 0.44155844155844154, 0.2647058823529412]"
10,1.0,"[0.3116883116883117, 0.375, 0.4675324675324675, 0.2222222222222222]"
10,1.0,"[0.11688311688311688, 0.6666666666666666, 0.09090909090909091, 0.8571428571428571]"
10,1.0,"[0.33766233766233766, 0.5, 0.5324675324675324, 0.36585365853658536]"
3,0.75,"[0.15584415584415584, 0.3333333333333333, 0.05194805194805195, 0.75]"
3,0.75,"[0.05194805194805195, 0.75, 0.05194805194805195, 0.75]"
3,0.75,"[0.23376623376623376, 0.3333333333333333, 0.4025974025974026, 0.25806451612903225]"
3,0.75,"[0.36363636363636365, 0.32142857142857145, 0.5064935064935064, 0.20512820512820512]"
3,0.75,"[0.2597402597402597, 0.3, 0.3246753246753247, 0.32]"
3,0.75,"[0.38961038961038963, 0.26666666666666666, 0.3246753246753247, 0.36]"
3,0.75,"[0.22077922077922077, 0.35294117647058826, 0.2857142857142857, 0.2727272727272727]"
3,0.75,"[0.2727272727272727, 0.42857142857142855, 0.23376623376623376, 0.6111111111111112]"
3,0.75,"[0.1038961038961039, 0.75, 0.11688311688311688, 0.6666666666666666]"
3,0.75,"[0.03896103896103896, 0.6666666666666666, 0.025974025974025976, 1.0]"
2,0.5,"[0.09090909090909091, 0.2857142857142857, 0.03896103896103896, 0.6666666666666666]"
2,0.5,"[0.0, 0, 0.0, 0]"
2,0.5,"[0.18181818181818182, 0.21428571428571427, 0.11688311688311688, 0.3333333333333333]"
2,0.5,"[0.05194805194805195, 0.75, 0.05194805194805195, 0.75]"
2,0.5,"[0.14285714285714285, 0.45454545454545453, 0.09090909090909091, 0.5714285714285714]"
2,0.5,"[0.2857142857142857, 0.2727272727272727, 0.2077922077922078, 0.4375]"
2,0.5,"[0.12987012987012986, 0.4, 0.07792207792207792, 0.6666666666666666]"
