,genCQ,expertCQ,cos_score
0,What are the most significant findings from long-term empirical studies in software engineering?,How many empirical studies are by authors working for large software development companies?,0.7032
1,How have empirical studies evolved in the International Conference on Software Engineering proceedings?,How many empirical studies are by authors working for large software development companies?,0.6685
2,What are the most significant findings from long-term empirical studies in software engineering?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.6330
3,Which empirical research methods are least frequently used in Requirements Engineering?,How often are which empirical methods used?,0.6285
4,Are there empirical studies regarding the relationship between developers' characteristics and their work modes?,How many empirical studies are by authors working for large software development companies?,0.6270
5,What are the classifications of research methods used in empirical Requirements Engineering studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6207
6,What proportion of empirical studies in Requirements Engineering discuss the software engineering process?,How many empirical studies are by authors working for large software development companies?,0.6181
7,What are the dominant empirical methods used in Requirements Engineering research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6172
8,Are empirical studies from the Journal of Empirical Software Engineering reflective of broader trends in the field?,How many empirical studies are by authors working for large software development companies?,0.6153
9,How often do empirical Requirements Engineering studies reference other disciplines?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6140
10,What role do literature reviews play in evaluating empirical research in Requirements Engineering?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6110
11,Which empirical research methods are least frequently used in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6017
12,How have empirical studies evolved in the International Conference on Software Engineering proceedings?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.5982
13,Which empirical research methods are least frequently used in Requirements Engineering?,How many different empirical methods are used per publication?,0.5960
14,What are the classifications of research methods used in empirical Requirements Engineering studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5925
15,What are the classifications of research methods used in empirical Requirements Engineering studies?,How many different empirical methods are used per publication?,0.5923
16,How prevalent are field studies in Requirements Engineering empirical research?,How many empirical studies are by authors working for large software development companies?,0.5908
17,How frequently do authors utilize meta-analysis in empirical Requirements Engineering research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5906
18,Which empirical research methods are least frequently used in Requirements Engineering?,How often are which empirical methods used over time?,0.5886
19,What proportion of empirical studies in Requirements Engineering are replications?,How many empirical studies are by authors working for large software development companies?,0.5811
20,What are the classifications of research methods used in empirical Requirements Engineering studies?,How often are which empirical methods used?,0.5792
21,What are the most cited works for guidelines on empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5759
22,Which empirical research methods are least frequently used in Requirements Engineering?,How has the number of empirical methods used per publication evolved over time?,0.5753
23,How prevalent are field studies in Requirements Engineering empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5752
24,Are long-term studies common in Requirements Engineering empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5743
25,How frequently are experiments and case studies used in Requirements Engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5729
26,What role do literature reviews play in evaluating empirical research in Requirements Engineering?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5725
27,How often are empirical research findings in Requirements Engineering generalized beyond the sample population?,How many empirical studies are by authors working for large software development companies?,0.5721
28,How do practitioners contribute to empirical research in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5709
29,Are empirical studies from the Journal of Empirical Software Engineering reflective of broader trends in the field?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5705
30,What types of software systems are most frequently evaluated in empirical Requirements Engineering studies?,How many empirical studies are by authors working for large software development companies?,0.5701
31,Are long-term studies common in Requirements Engineering empirical research?,How many empirical studies are by authors working for large software development companies?,0.5692
32,What are the classifications of research methods used in empirical Requirements Engineering studies?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5680
33,What are the dominant empirical methods used in Requirements Engineering research?,How often are which empirical methods used?,0.5677
34,Are there empirical studies regarding the relationship between developers' characteristics and their work modes?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.5672
35,How frequently do authors utilize meta-analysis in empirical Requirements Engineering research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5626
36,How prevalent are field studies in Requirements Engineering empirical research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5623
37,What are the dominant empirical methods used in Requirements Engineering research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5613
38,How have empirical studies evolved in the International Conference on Software Engineering proceedings?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5585
39,What are the classifications of research methods used in empirical Requirements Engineering studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5582
40,How have empirical studies evolved in the International Conference on Software Engineering proceedings?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5564
41,How significant are the contributions from non-academic authors in empirical studies of Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5543
42,What are the most cited works for guidelines on empirical research in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5543
43,What are the dominant empirical methods used in Requirements Engineering research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5537
44,How often are results replicated in the empirical studies found in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5534
45,Are empirical studies from the Journal of Empirical Software Engineering reflective of broader trends in the field?,How has the proportion of papers that do not have an empirical study evolved over time?,0.5530
46,What are the most significant findings from long-term empirical studies in software engineering?,How has the proportion of empirical studies evolved over time?,0.5527
47,What are the classifications of research methods used in empirical Requirements Engineering studies?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5509
48,How often do empirical Requirements Engineering studies reference other disciplines?,How often are which empirical methods used?,0.5509
49,Are empirical studies from the Journal of Empirical Software Engineering reflective of broader trends in the field?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5509
50,What are the commonly identified threats to validity in Requirements Engineering empirical studies?,What types of threats to validity do the authors report?,0.5483
51,Which empirical research methods are least frequently used in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5481
