,genCQs,best_expertCQs,best_cos_score
0,What is the state of the art in empirical studies of Requirements Engineering (RE)?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5308
1,What is the strength of empirical evidence in empirical requirement engineering literature?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5524
2,Which era of RE research has seen maximum progress in terms of new advances?,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",0.6092
3,Which country is most frequently involved in RE research and during which era did these countries show maximum progress?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5448
4,In what context have empirical studies of RE been carried out over different periods?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7671
5,How has empirical research in various RE knowledge areas evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.708
6,What types of interventions have been proposed or investigated in RE research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5412
7,In which channels are the empirical studies of RE published?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7048
8,"How are research method, type, intervention, and domain related to RE core areas?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.5164
9,Which research method is frequently used in primary studies?,How often are which statistical methods used?,0.6637
10,What kind of research participants are frequently involved in primary studies?,How often are those who conduct the studies also the authors of the papers?,0.6333
11,Which data collection method is frequently used in the investigation of research in primary studies?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5743
12,What is the frequency of different research types in primary studies?,How often are those who conduct the studies also the authors of the papers?,0.6208
13,How rigorous is the reported research in different RE core areas?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6022
14,What trends and opportunities exist in RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6422
15,What are the themes and trends emerging from the overall analysis of empirical RE literature?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6891
16,How has the interest in RE empirical research evolved over time?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7626
17,What are the major focus areas of empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.712
18,What is the role of requirements elicitation in empirical RE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5767
19,How has requirements analysis been investigated in empirical RE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6169
20,What trends exist in the study of RE processes?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.578
21,What role do non-functional requirements play in emerging RE research?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5114
22,What is the state of empirical work in requirements validation and verification?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5025
23,What new interventions are being proposed in RE empirical research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5929
24,How is the RE empirical research community addressing the lack of research in requirements validation and verification?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4844
25,What areas in RE need more empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6635
26,How can researchers replicate existing studies to evaluate RE interventions in real contexts?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.6044
27,What is the involvement of practitioners in RE empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5938
28,What challenges and issues do practitioners face in their work related to RE interventions?,How has the reporting of the objects of study / treatments evolved over time?,0.4217
29,How have specific countries contributed to RE research over different eras?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5401
30,What are the characteristics of the empirical studies conducted in various RE domains?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.775
31,What domains have been significantly involved in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7785
32,How have the different sub-areas of RE evolved in empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7585
33,"What is the distribution of empirical RE studies across different domains like embedded systems, finance, and information systems?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.7121
