,genCQ,expertCQ,cos_score
0,What methodologies dominate empirical research in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5918
1,How do empirical studies address the issue of scope creep in software projects?,How many empirical studies are by authors working for large software development companies?,0.5772
2,Which case studies have significantly influenced Requirements Engineering practices?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5704
3,How do empirical results impact the methodologies and practices in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5698
4,What methodologies dominate empirical research in Requirements Engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5641
5,What methodologies dominate empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5512
6,How do requirements evolve during the software development lifecycle according to empirical research?,How many empirical studies are by authors working for large software development companies?,0.5489
7,What methodologies dominate empirical research in Requirements Engineering?,How has the number of empirical methods used per publication evolved over time?,0.5452
8,What methodologies dominate empirical research in Requirements Engineering?,How often are which empirical methods used?,0.5428
9,How do empirical studies address the issue of scope creep in software projects?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.5417
10,What methodologies dominate empirical research in Requirements Engineering?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.5391
11,How do empirical results impact the methodologies and practices in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5372
12,How do requirements evolve during the software development lifecycle according to empirical research?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.5326
13,What methodologies dominate empirical research in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5317
14,How do empirical results impact the methodologies and practices in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5306
15,How is the effectiveness of requirements prioritization techniques assessed in empirical research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5258
16,What methodologies dominate empirical research in Requirements Engineering?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.5253
17,How do empirical results impact the methodologies and practices in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5224
