,genCQ,expertCQ,cos_score
0,What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.6904
1,What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,"What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?",0.6341
2,How do researchers in Requirements Engineering mitigate the influence of researcher bias in their studies?,How do the authors justify preventing bias in the study results?,0.6187
3,Which research methods are commonly used in empirical research in Requirements Engineering?,How often are which empirical methods used?,0.6155
4,How do researchers in Requirements Engineering address the issue of publication bias in their research?,How do the authors justify preventing bias in the study results?,0.6082
5,Which research methods are commonly used in empirical research in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6038
6,How do researchers account for bias in empirical studies in Requirements Engineering?,How do the authors justify preventing bias in the study results?,0.5943
7,How do researchers in Requirements Engineering address the issue of participant bias?,How do the authors justify preventing bias in the study results?,0.5931
8,Which research methods are commonly used in empirical research in Requirements Engineering?,How many different empirical methods are used per publication?,0.5901
9,What are the advantages of using case studies in Requirements Engineering research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5888
10,What are the consequences of using inappropriate statistical methods in Requirements Engineering studies?,Do authors report that assumptions and limitations of statistical methods are met before using them?,0.5887
11,Which research methods are commonly used in empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5860
12,What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,"How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?",0.5806
13,Which research methods are commonly used in empirical research in Requirements Engineering?,How often are which empirical methods used over time?,0.5713
14,What is the role of theories in guiding empirical research in Requirements Engineering?,"For which purpose do authors incorporate theories into their studies (use, testing, modification, formulation)?",0.5712
15,Which research methods are commonly used in empirical research in Requirements Engineering?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5691
16,How do researchers in Requirements Engineering address threats to construct validity?,What types of threats to validity do the authors report?,0.5676
17,What are the consequences of using inappropriate validation techniques in Requirements Engineering studies?,What types of threats to validity do the authors report?,0.5644
18,Which are the most cited empirical research papers in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5633
19,What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,How many publications are analyzed in (systematic literature) reviews?,0.5620
20,Which are the most cited empirical research papers in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5602
21,What are the key topics in empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5598
22,Which research methods are commonly used in empirical research in Requirements Engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5595
23,How has the focus of empirical research in Requirements Engineering evolved over time?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.5575
24,Which are the most cited empirical research papers in Requirements Engineering?,How has the proportion of papers that do not have an empirical study evolved over time?,0.5562
25,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,How many empirical studies are by authors working for large software development companies?,0.5553
26,How do researchers in Requirements Engineering address threats to external validity?,What types of threats to validity do the authors report?,0.5549
27,Which research methods are commonly used in empirical research in Requirements Engineering?,How has the number of empirical methods used per publication evolved over time?,0.5536
28,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5520
29,What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5506
30,What role does data analysis play in empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5500
31,Which research methods are commonly used in empirical research in Requirements Engineering?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.5477
32,How do researchers validate their findings in empirical studies in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5457
33,How do researchers validate their findings in empirical studies in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5455
34,How do researchers in Requirements Engineering mitigate the influence of researcher bias in their studies?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.5452
35,What are the most common data collection techniques used in empirical research in Requirements Engineering?,How often are which empirical methods used?,0.5449
36,How do researchers in Requirements Engineering address threats to internal validity?,What types of threats to validity do the authors report?,0.5449
37,Which research methods are commonly used in empirical research in Requirements Engineering?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.5444
38,How has the focus of empirical research in Requirements Engineering evolved over time?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5441
39,How do researchers in Requirements Engineering address the issue of recall bias in their studies?,How do the authors justify preventing bias in the study results?,0.5426
40,How do researchers validate their findings in empirical studies in Requirements Engineering?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.5415
41,What are the most common data collection techniques used in empirical research in Requirements Engineering?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5413
42,What are the most common data collection techniques used in empirical research in Requirements Engineering?,How many different empirical methods are used per publication?,0.5394
43,What is the impact of context on empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5394
44,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.5392
45,Which are the most cited empirical research papers in Requirements Engineering?,How has the number of empirical methods used per publication evolved over time?,0.5384
46,What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,"Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?",0.5384
47,Which research methods are commonly used in empirical research in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5356
48,How do researchers validate their findings in empirical studies in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5349
49,What is the role of theories in guiding empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5342
50,What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,Have the authors done a systematic review of related work?,0.5325
51,Which are the most cited empirical research papers in Requirements Engineering?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5308
52,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.5298
53,How do researchers account for bias in empirical studies in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5296
54,What is the impact of context on empirical research in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5295
55,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.5292
56,Which research methods are commonly used in empirical research in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5262
57,How do researchers in Requirements Engineering address threats to construct validity?,How has the reporting of threats to validity evolved over time?,0.5248
58,What are the implications of sample size in empirical research in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5231
59,What are the most common data collection techniques used in empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5230
60,What role does data analysis play in empirical research in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5230
61,What are the potential sources of error in empirical research in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5229
62,Which are the most cited empirical research papers in Requirements Engineering?,How many different empirical methods are used per publication?,0.5222
63,What are the most common data collection techniques used in empirical research in Requirements Engineering?,How often are which empirical methods used over time?,0.5211
64,How do researchers ensure the objectivity of their findings in Requirements Engineering studies?,Do the authors report the selected context of their study with specific characteristics?,0.5211
65,How do researchers account for bias in empirical studies in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5202
66,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5184
67,What are the emerging trends in empirical research in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5170
68,How has the focus of empirical research in Requirements Engineering evolved over time?,How has the proportion of empirical studies evolved over time?,0.5166
69,How do researchers in Requirements Engineering address the issue of data validity in their studies?,What types of threats to validity do the authors report?,0.5166
70,How has the focus of empirical research in Requirements Engineering evolved over time?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5160
71,How do researchers account for bias in empirical studies in Requirements Engineering?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.5157
72,Which research methods are commonly used in empirical research in Requirements Engineering?,"What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?",0.5140
73,What are the most common data collection techniques used in empirical research in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5137
74,How do researchers validate their findings in empirical studies in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5135
75,How do researchers in Requirements Engineering address the issue of social desirability bias?,How do the authors justify preventing bias in the study results?,0.5123
76,How do researchers account for bias in empirical studies in Requirements Engineering?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.5120
77,What is the role of theories in guiding empirical research in Requirements Engineering?,How many studies incorporate theories?,0.5118
78,What are the most influential conferences or journals in empirical research in Requirements Engineering?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5115
79,How has the focus of empirical research in Requirements Engineering evolved over time?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.5113
80,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5110
81,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.5106
82,How has the focus of empirical research in Requirements Engineering evolved over time?,How many empirical studies are by authors working for large software development companies?,0.5100
83,What are the key topics in empirical research in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5096
84,What are the most influential conferences or journals in empirical research in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5093
85,What is the role of theories in guiding empirical research in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5090
86,What are the main challenges in conducting empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5082
87,How do researchers account for bias in empirical studies in Requirements Engineering?,How has the proportion of empirical studies evolved over time?,0.5078
88,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5078
89,How has the focus of empirical research in Requirements Engineering evolved over time?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5076
90,What are the key factors influencing the choice of research methods in Requirements Engineering studies?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5073
91,What are the most common data collection techniques used in empirical research in Requirements Engineering?,How has the number of empirical methods used per publication evolved over time?,0.5071
92,Which research methods are commonly used in empirical research in Requirements Engineering?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.5070
93,What are the best practices for reporting empirical research findings in Requirements Engineering?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.5066
94,Which are the most cited empirical research papers in Requirements Engineering?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.5057
95,What are the most common data collection techniques used in empirical research in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5050
96,How has the focus of empirical research in Requirements Engineering evolved over time?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.5048
97,What are the key factors influencing the choice of research methods in Requirements Engineering studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5042
98,Which are the most cited empirical research papers in Requirements Engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5040
99,How has the focus of empirical research in Requirements Engineering evolved over time?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.5039
100,How has the focus of empirical research in Requirements Engineering evolved over time?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5036
101,How do researchers validate their findings in empirical studies in Requirements Engineering?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.5033
102,How do researchers validate their findings in empirical studies in Requirements Engineering?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.5032
103,How do researchers in Requirements Engineering address threats to external validity?,How has the reporting of threats to validity evolved over time?,0.5025
104,Which research methods are commonly used in empirical research in Requirements Engineering?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5021
105,What are the best practices for reporting empirical research findings in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5020
106,What are the current gaps in empirical research in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5018
107,How do researchers select appropriate research participants in Requirements Engineering studies?,Do the authors report the selected context of their study with specific characteristics?,0.5016
108,What are the emerging trends in empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5013
109,What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.5012
110,How do researchers in Requirements Engineering address the issue of data validity in their studies?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.4994
111,What are the best practices for reporting empirical research findings in Requirements Engineering?,How has the reporting of research questions and answers evolved over time?,0.4994
112,Which research methods are commonly used in empirical research in Requirements Engineering?,How often are which statistical methods used?,0.4994
113,How do researchers in Requirements Engineering address the issue of response bias in surveys?,How do the authors justify preventing bias in the study results?,0.4988
114,How do researchers validate their findings in empirical studies in Requirements Engineering?,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,0.4984
115,How do researchers account for bias in empirical studies in Requirements Engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.4983
116,How do researchers in Requirements Engineering address the issue of data validity in their studies?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.4982
117,What is the role of theories in guiding empirical research in Requirements Engineering?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4979
118,What are the consequences of using inappropriate statistical methods in Requirements Engineering studies?,How often are which statistical methods used?,0.4977
119,Which are the most cited empirical research papers in Requirements Engineering?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.4970
120,What is the role of theories in guiding empirical research in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4968
121,What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4967
122,Which are the most cited empirical research papers in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4960
123,How do researchers validate their findings in empirical studies in Requirements Engineering?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.4947
124,How do researchers validate their findings in empirical studies in Requirements Engineering?,"What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?",0.4946
125,What are the consequences of using inappropriate effect size measures in Requirements Engineering studies?,How has the use of power analysis and effect size estimation evolved over time?,0.4939
126,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.4938
127,What are the emerging trends in empirical research in Requirements Engineering?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4938
128,What role does data analysis play in empirical research in Requirements Engineering?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4937
129,What are the key topics in empirical research in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4933
130,What are the key factors influencing the choice of research methods in Requirements Engineering studies?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.4932
131,What is the impact of context on empirical research in Requirements Engineering?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4923
132,What are the consequences of using inappropriate statistical methods in Requirements Engineering studies?,How has the use of statistical methods evolved over time?,0.4922
133,What are the best practices for reporting empirical research findings in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4910
134,What are the most influential conferences or journals in empirical research in Requirements Engineering?,How has the number of empirical methods used per publication evolved over time?,0.4903
135,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,How has the proportion of empirical studies evolved over time?,0.4895
136,How do researchers account for bias in empirical studies in Requirements Engineering?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.4891
137,What are the implications of using secondary data analysis in Requirements Engineering research?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.4891
138,Which are the most cited empirical research papers in Requirements Engineering?,How often are which empirical methods used?,0.4891
139,What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.4884
140,What are the most common data collection techniques used in empirical research in Requirements Engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.4883
141,What are the best practices for reporting empirical research findings in Requirements Engineering?,"What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?",0.4880
142,What are the current gaps in empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4878
143,How do researchers in Requirements Engineering address threats to internal validity?,How has the reporting of threats to validity evolved over time?,0.4876
144,What are the potential sources of error in empirical research in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4875
145,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,0.4874
146,What are the most influential conferences or journals in empirical research in Requirements Engineering?,How has the proportion of papers that do not have an empirical study evolved over time?,0.4870
147,What are the implications of using longitudinal studies in Requirements Engineering research?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.4864
148,What is the role of theories in guiding empirical research in Requirements Engineering?,How has the incorporation of theories in studies evolved over time?,0.4863
149,What are the advantages of using mixed methods in Requirements Engineering research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4859
150,Which are the most cited empirical research papers in Requirements Engineering?,How many publications are analyzed in (systematic literature) reviews?,0.4846
151,What are the potential sources of error in empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4845
152,Which are the most cited empirical research papers in Requirements Engineering?,How has the proportion of empirical studies evolved over time?,0.4842
153,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.4835
154,How do researchers validate their findings in empirical studies in Requirements Engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.4827
155,How do researchers ensure the objectivity of their findings in Requirements Engineering studies?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.4817
156,How has the focus of empirical research in Requirements Engineering evolved over time?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4805
157,How do researchers ensure the objectivity of their findings in Requirements Engineering studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4793
158,What are the main challenges in conducting empirical research in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.4787
159,Which are the most cited empirical research papers in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.4782
160,What are the factors influencing the choice of research design in Requirements Engineering studies?,Do the authors use a well defined taxonomy for their research design?,0.4780
161,What are the emerging trends in empirical research in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.4771
162,What are the key topics in empirical research in Requirements Engineering?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4771
163,What are the potential sources of error in empirical research in Requirements Engineering?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.4770
164,How has the focus of empirical research in Requirements Engineering evolved over time?,How has the number of empirical methods used per publication evolved over time?,0.4769
165,How do researchers ensure the objectivity of their findings in Requirements Engineering studies?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.4764
166,How do researchers validate their findings in empirical studies in Requirements Engineering?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.4756
167,How do researchers ensure the objectivity of their findings in Requirements Engineering studies?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.4750
168,How do researchers ensure the objectivity of their findings in Requirements Engineering studies?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.4747
169,What is the impact of context on empirical research in Requirements Engineering?,Do the authors report the selected context of their study with specific characteristics?,0.4745
170,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.4739
171,How has the focus of empirical research in Requirements Engineering evolved over time?,How has the reporting of research questions and answers evolved over time?,0.4736
172,What are the key factors influencing the choice of research methods in Requirements Engineering studies?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.4735
173,What are the most common data collection techniques used in empirical research in Requirements Engineering?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4733
174,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4732
175,What are the current gaps in empirical research in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.4727
176,How do researchers validate their findings in empirical studies in Requirements Engineering?,Which methods are used to synthesize evidence from data of different empirical methods?,0.4727
177,How has the focus of empirical research in Requirements Engineering evolved over time?,How has the proportion of papers that do not have an empirical study evolved over time?,0.4720
178,What are the most common data collection techniques used in empirical research in Requirements Engineering?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.4719
