,genCQ,expertCQ,cos_score
0,What statistical techniques are most commonly used in Requirements Engineering studies?,How often are which statistical methods used?,0.6128
1,What are the most comprehensive systematic reviews in the field of Requirements Engineering?,How many publications are analyzed in (systematic literature) reviews?,0.5864
2,What are the most comprehensive systematic reviews in the field of Requirements Engineering?,"How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?",0.5666
3,What are the most comprehensive systematic reviews in the field of Requirements Engineering?,"What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?",0.5511
4,Which authors collaborate frequently on Requirements Engineering research?,How many empirical studies are by authors working for large software development companies?,0.5508
5,What are the most comprehensive systematic reviews in the field of Requirements Engineering?,"Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?",0.5497
6,Which studies have used experimental methodologies in Requirements Engineering?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.5490
7,What are the most comprehensive systematic reviews in the field of Requirements Engineering?,Have the authors done a systematic review of related work?,0.5421
8,What are the most comprehensive systematic reviews in the field of Requirements Engineering?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.5383
9,Who are the leading authors in Requirements Engineering research?,How many empirical studies are by authors working for large software development companies?,0.5279
10,Which authors collaborate frequently on Requirements Engineering research?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.5250
11,How has the definition of Requirements Engineering evolved over time?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.5244
12,What are the most comprehensive systematic reviews in the field of Requirements Engineering?,Which digital libraries with publications from SE and RE and related disciplines do authors use for (systematic literature) reviews?,0.5186
13,How are user stories analyzed in academic literature?,Do the authors report the selected context of their study with specific characteristics?,0.5175
14,What is the role of use cases in current Requirements Engineering research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5083
15,Which studies have used experimental methodologies in Requirements Engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5074
16,What research methodologies are most common in Requirements Engineering studies?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5067
17,What case studies have been published in the domain of Requirements Engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5032
18,Which studies have used experimental methodologies in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5012
19,Who are the leading authors in Requirements Engineering research?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.4926
20,Which authors collaborate frequently on Requirements Engineering research?,Have the authors done a systematic review of related work?,0.4899
21,What research methodologies are most common in Requirements Engineering studies?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.4895
22,Which keywords have increased in popularity in Requirements Engineering literature over time?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4882
23,Which authors collaborate frequently on Requirements Engineering research?,How often are those who conduct the studies also the authors of the papers?,0.4857
24,Which authors collaborate frequently on Requirements Engineering research?,Do the authors use a well defined taxonomy for their research design?,0.4837
25,What research methodologies are most common in Requirements Engineering studies?,How often are which statistical methods used?,0.4833
26,What are the most comprehensive systematic reviews in the field of Requirements Engineering?,Do the authors refer to a reference (website or systematic review) that systematizes and characterizes the theory incorporated?,0.4818
27,What statistical techniques are most commonly used in Requirements Engineering studies?,How often are which empirical methods used?,0.4781
28,Which Requirements Engineering studies have influenced industry practices the most?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.4769
29,How do Requirements Engineering findings impact software development processes?,How many empirical studies are by authors working for large software development companies?,0.4733
30,How are user stories analyzed in academic literature?,How often are those who conduct the studies also the authors of the papers?,0.4722
31,What statistical techniques are most commonly used in Requirements Engineering studies?,How has the use of statistical methods evolved over time?,0.4713
32,What theoretical frameworks are most commonly applied in Requirements Engineering research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4705
33,Which meta-analysis papers offer insights into the effectiveness of different Requirements Engineering techniques?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.4690
34,Which meta-analysis papers offer insights into the effectiveness of different Requirements Engineering techniques?,"What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?",0.4686
35,How are user stories analyzed in academic literature?,"For which purpose do authors incorporate theories into their studies (use, testing, modification, formulation)?",0.4686
36,What statistical techniques are most commonly used in Requirements Engineering studies?,How many empirical studies are by authors working for large software development companies?,0.4682
37,What qualitative methodologies are used in Requirements Engineering research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4678
38,What statistical techniques are most commonly used in Requirements Engineering studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4669
39,Which Requirements Engineering studies have influenced industry practices the most?,How many empirical studies are by authors working for large software development companies?,0.4659
40,What research methodologies are most common in Requirements Engineering studies?,Do the authors use a well defined taxonomy for their research design?,0.4659
41,How has the focus of Requirements Engineering research shifted over the last decade?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.4658
42,What research methodologies are most common in Requirements Engineering studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4658
43,Which studies have used experimental methodologies in Requirements Engineering?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.4654
44,Who are the leading authors in Requirements Engineering research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4650
45,What statistical techniques are most commonly used in Requirements Engineering studies?,How often are which empirical methods used over time?,0.4645
46,Which authors collaborate frequently on Requirements Engineering research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4640
47,What quantitative methodologies are used in Requirements Engineering research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.4620
48,What quantitative methodologies are used in Requirements Engineering research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4604
49,Which studies have used experimental methodologies in Requirements Engineering?,"For which purpose do authors incorporate theories into their studies (use, testing, modification, formulation)?",0.4601
50,What research methodologies are most common in Requirements Engineering studies?,How many empirical studies are by authors working for large software development companies?,0.4595
51,What statistical techniques are most commonly used in Requirements Engineering studies?,How many different empirical methods are used per publication?,0.4595
52,Which Requirements Engineering studies have influenced industry practices the most?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.4591
53,Who are the pioneers in Requirements Engineering research?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.4590
54,Which authors collaborate frequently on Requirements Engineering research?,"For which purpose do authors incorporate theories into their studies (use, testing, modification, formulation)?",0.4575
55,Who are the leading authors in Requirements Engineering research?,"For which purpose do authors incorporate theories into their studies (use, testing, modification, formulation)?",0.4567
56,How are user stories analyzed in academic literature?,"Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?",0.4562
57,Which new technology trends are influencing Requirements Engineering research?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.4556
58,How are user stories analyzed in academic literature?,Do the authors exlain HOW their apporach is better than others in a selected context with specific characteristics?,0.4556
59,How are user stories analyzed in academic literature?,How many publications are analyzed in (systematic literature) reviews?,0.4554
60,What are the most influential recent theories in Requirements Engineering?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4551
61,Which studies have used experimental methodologies in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.4539
