,genCQ,expertCQ,cos_score
0,How have empirical methods in RE evolved over the years?,How has the number of empirical methods used per publication evolved over time?,0.8098
1,How have empirical methods in RE evolved over the years?,How often are which empirical methods used over time?,0.8066
2,What statistical methods are most commonly used in empirical RE?,How often are which empirical methods used?,0.7922
3,How have empirical methods in RE evolved over the years?,How often are which empirical methods used?,0.7917
4,How do empirical studies influence software development practices?,How many empirical studies are by authors working for large software development companies?,0.7854
5,What statistical methods are most commonly used in empirical RE?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7434
6,What statistical methods are most commonly used in empirical RE?,How many different empirical methods are used per publication?,0.7382
7,How have empirical methods in RE evolved over the years?,How has the proportion of empirical studies evolved over time?,0.7282
8,What statistical methods are most commonly used in empirical RE?,How often are which empirical methods used over time?,0.7272
9,What new theories have emerged from empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7258
10,Which countries or regions are leading in the publication of empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7240
11,How have empirical methods in RE evolved over the years?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7205
12,How do empirical studies influence software development practices?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.7195
13,What are the typical time frames involved in conducting empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7078
14,How is the effectiveness of new empirical RE methods measured?,How often are which empirical methods used?,0.7074
15,How have empirical methods in RE evolved over the years?,How do the authors justify the selection and combination of empirical methods and design elements?,0.7017
16,What statistical methods are most commonly used in empirical RE?,How often are which statistical methods used?,0.6999
17,What trends are influencing the direction of empirical RE currently?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6944
18,What are the most controversial findings from empirical RE studies in recent years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6940
19,How have empirical methods in RE evolved over the years?,How has the use of statistical methods evolved over time?,0.6931
20,What new theories have emerged from empirical RE studies?,How has the proportion of empirical studies evolved over time?,0.6891
21,What key challenges do researchers face in empirical RE according to recent studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6872
22,How have empirical methods in RE evolved over the years?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.6866
23,What new theories have emerged from empirical RE studies?,How many studies incorporate theories?,0.6779
24,How does the RE community validate new empirical methods?,How often are which empirical methods used?,0.6762
25,What are the success rates of projects that implement empirical RE findings?,How many empirical studies are by authors working for large software development companies?,0.6735
26,What methodologies are used to ensure the quality of empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6724
27,How have empirical methods in RE evolved over the years?,How many different empirical methods are used per publication?,0.6720
28,What methodologies are used to ensure the quality of empirical RE studies?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6699
29,How does the RE community validate new empirical methods?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6699
30,How are longitudinal empirical RE studies designed and executed?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6691
31,How are results from empirical RE studies integrated into practical applications?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6679
32,How does the RE community validate new empirical methods?,How has the number of empirical methods used per publication evolved over time?,0.6675
33,Which empirical RE methods are most effective for different types of projects?,How often are which empirical methods used?,0.6665
34,What are the most controversial findings from empirical RE studies in recent years?,How has the proportion of empirical studies evolved over time?,0.6656
35,How does the RE community validate new empirical methods?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6654
36,What methodologies are used to ensure the quality of empirical RE studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6645
37,What new theories have emerged from empirical RE studies?,How has the incorporation of theories in studies evolved over time?,0.6641
38,What statistical methods are most commonly used in empirical RE?,How has the number of empirical methods used per publication evolved over time?,0.6641
39,How is the effectiveness of new empirical RE methods measured?,How often are which empirical methods used over time?,0.6639
40,What are the main challenges in replicating empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6629
41,What are the defining characteristics of empirical RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6621
42,What are the main sources of funding for empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6620
43,What are the common pitfalls in designing empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6585
44,How have empirical methods in RE evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6579
45,What are the barriers to conducting large-scale empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6571
46,What methodologies are used to ensure the quality of empirical RE studies?,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",0.6564
47,What methodologies are used to ensure the quality of empirical RE studies?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6562
48,What are the main dissemination channels for empirical RE findings?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6539
49,What are the typical time frames involved in conducting empirical RE studies?,How often are which empirical methods used over time?,0.6537
50,What new theories have emerged from empirical RE studies?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.6512
51,How is the effectiveness of new empirical RE methods measured?,How has the number of empirical methods used per publication evolved over time?,0.6512
52,How have empirical methods in RE evolved over the years?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6508
53,What key challenges do researchers face in empirical RE according to recent studies?,How has the proportion of empirical studies evolved over time?,0.6477
54,What methodologies are used to ensure the quality of empirical RE studies?,How often are which empirical methods used?,0.6475
55,How does empirical evidence influence software development timelines?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.6456
56,What new theories have emerged from empirical RE studies?,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,0.6451
57,How does empirical evidence influence software development timelines?,How many empirical studies are by authors working for large software development companies?,0.6441
58,How is the effectiveness of new empirical RE methods measured?,How many different empirical methods are used per publication?,0.6425
