,expertCQs,genCQs
1,How has the proportion of empirical studies evolved over time?,What are the key topics in empirical research in Requirements Engineering?
2,How often are which empirical methods used over time?,Which are the most cited empirical research papers in Requirements Engineering?
3,Which sub-fields of SE and RE do the empirical studies cover over time?,What are the main challenges in conducting empirical research in Requirements Engineering?
4, How do the authors justify the lack of a proper study?,Which research methods are commonly used in empirical research in Requirements Engineering?
5,How has the proportion of papers that do not have an empirical study evolved over time?,What are the emerging trends in empirical research in Requirements Engineering?
6,How many empirical studies are by authors working for large software development companies?,How has the focus of empirical research in Requirements Engineering evolved over time?
7,How has the proportion of studies by authors working for large software development companies evolved over time?,What are the most influential conferences or journals in empirical research in Requirements Engineering?
8,"How has building on previous research data and results, including from other disciplines, evolved over time?",What are the differences between qualitative and quantitative research in Requirements Engineering?
9,How do the authors justify the selection and combination of empirical methods and design elements?,How do researchers in Requirements Engineering ensure the validity of their empirical studies?
10,How often are which empirical methods used?,What are the ethical considerations in conducting empirical research in Requirements Engineering?
11,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",How do researchers select appropriate research participants in Requirements Engineering studies?
12,How has the proportion of replications evolved over time?,What are the best practices for designing surveys in Requirements Engineering research?
13,How has the use of triangulation for research design evolved over time?,How do researchers account for bias in empirical studies in Requirements Engineering?
14,How often are those who conduct the studies also the authors of the papers?,What are the current gaps in empirical research in Requirements Engineering?
15,How do the authors justify preventing bias in the study results?,How do researchers in Requirements Engineering ensure the reliability of their study results?
16,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,What role does data analysis play in empirical research in Requirements Engineering?
17,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,How do researchers validate their findings in empirical studies in Requirements Engineering?
18,How often are which statistical methods used?,What are the potential sources of error in empirical research in Requirements Engineering?
19,How has the use of statistical methods evolved over time?,What are the advantages of using case studies in Requirements Engineering research?
20,Do authors report that assumptions and limitations of statistical methods are met before using them?,How do researchers in Requirements Engineering handle missing data in their studies?
21,How has the definition of the population evolved over time?,What is the impact of context on empirical research in Requirements Engineering?
22,How has the use of power analysis and effect size estimation evolved over time?,How do researchers in Requirements Engineering ensure the generalizability of their results?
23,How has the reporting of threats to validity evolved over time?,What are the key factors influencing the choice of research methods in Requirements Engineering studies?
24,What types of threats to validity do the authors report?,How do researchers in Requirements Engineering address threats to internal validity?
25,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,What is the role of theories in guiding empirical research in Requirements Engineering?
26,How have the proportions of case studies and action research in the empirical methods used evolved over time?,How do researchers deal with outliers in data analysis in Requirements Engineering studies?
27,How has the reporting of the subjects evolved over time?,What are the criteria for selecting suitable research instruments in Requirements Engineering research?
28,How has the reporting of the objects of study / treatments evolved over time?,How do researchers in Requirements Engineering handle confounding variables in their studies?
29,How has the reporting of the tasks evolved over time?,What are the implications of sample size in empirical research in Requirements Engineering?
30,How has the reporting of the setting evolved over time?,How do researchers in Requirements Engineering control for extraneous variables in their studies?
31,Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users?,What are the most common data collection techniques used in empirical research in Requirements Engineering?
32,How has the the reporting of the population evolved over time?,How do researchers ensure the objectivity of their findings in Requirements Engineering studies?
33,How has the reporting of the context evolved over time?,What are the best practices for reporting empirical research findings in Requirements Engineering?
34,Do the authors exlain WHY their apporach is better than others in a selected context with specific characteristics?,How do researchers in Requirements Engineering address threats to construct validity?
35,Do the authors exlain WHEN their apporach is better than others in a selected context with specific characteristics?,What are the key considerations when designing experiments in Requirements Engineering research?
36,Do the authors exlain HOW their apporach is better than others in a selected context with specific characteristics?,How do researchers in Requirements Engineering ensure the representativeness of their samples?
37,Do the authors report the selected context of their study with specific characteristics?,What are the implications of using different sampling techniques in Requirements Engineering studies?
38,Does the research design allow for efficient reuse of study (results) by other researchers?,How do researchers in Requirements Engineering mitigate the influence of researcher bias in their studies?
39,"How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?",What are the key differences between observational and experimental studies in Requirements Engineering?
40,How has the reporting of research questions and answers evolved over time?,How do researchers in Requirements Engineering handle the issue of causality in their studies?
41,How has the use of language (academic vs. plain) in scientific publications evolved over time?,What are the factors influencing the choice of research design in Requirements Engineering studies?
42,Do the authors use a well defined taxonomy for their research design?,How do researchers in Requirements Engineering address threats to external validity?
43,Do the authors use other channels to publish their results for making them available to industrial users?,What are the advantages of using mixed methods in Requirements Engineering research?
44,"What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?",How do researchers in Requirements Engineering address the issue of participant bias?
45,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",What are the consequences of using inappropriate statistical methods in Requirements Engineering studies?
46,Have the authors done a systematic review of related work?,How do researchers in Requirements Engineering ensure the accuracy of their data collection process?
47,"How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?",What are the implications of using longitudinal studies in Requirements Engineering research?
48,How many publications are analyzed in (systematic literature) reviews?,How do researchers in Requirements Engineering address the issue of response bias in surveys?
49,"Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users, such as policy-makers, practitioners, and the general public?",What are the best practices for conducting interviews in Requirements Engineering research?
50,"Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?",How do researchers in Requirements Engineering ensure the transparency of their research process?
51,"Do electronic resources (digital libraries and databases) provide all the functionalies that support the identification, selection, and retrieval of bibliographic and full-text information about SE research?",What are the limitations of using self-reported data in Requirements Engineering studies?
52,Do the authors use multiple digital libraries including publications from SE and RE and related disciplines for (systematic literature) reviews?,How do researchers in Requirements Engineering address the issue of social desirability bias?
53,Which digital libraries with publications from SE and RE and related disciplines do authors use for (systematic literature) reviews?,What are the implications of using secondary data analysis in Requirements Engineering research?
54,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,How do researchers in Requirements Engineering ensure the reliability of their coding process?
55,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,What are the key considerations when conducting focus groups in Requirements Engineering research?
56,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,How do researchers in Requirements Engineering control for demand characteristics in their studies?
57,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,What are the consequences of using inappropriate control groups in Requirements Engineering studies?
58,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,How do researchers in Requirements Engineering ensure the confidentiality of their study participants?
59,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?
60,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,How do researchers in Requirements Engineering address the issue of researcher subjectivity in data interpretation?
61,How many different empirical methods are used per publication?,What are the implications of using convenience sampling in Requirements Engineering studies?
62,How has the number of empirical methods used per publication evolved over time?,How do researchers in Requirements Engineering ensure the validity of their measurement instruments?
63,Which methods are used to synthesize evidence from data of different empirical methods?,What are the key considerations for choosing appropriate statistical tests in Requirements Engineering research?
64,How many studies incorporate theories?,How do researchers in Requirements Engineering mitigate the impact of outliers in their data analysis?
65,How has the incorporation of theories in studies evolved over time?,What are the consequences of using inappropriate effect size measures in Requirements Engineering studies?
66,"For which purpose do authors incorporate theories into their studies (use, testing, modification, formulation)?",How do researchers in Requirements Engineering ensure the credibility of their study findings?
67,"What is the proportion of theories from other disciplines, from other disciplines with adaptions for the SE and RE, and from SE and RE itself?",What are the implications of using open-ended questions in surveys in Requirements Engineering research?
68,"How has the proportion of theories from other disciplines, from other disciplines with adaptions for the SE (RE), and from SE (RE) itself evolved over time?",How do researchers in Requirements Engineering address the issue of recall bias in their studies?
69,How many theories from the SE and RE are there?,What are the best practices for handling missing data in Requirements Engineering research?
70,How has the number of theories from SE and RE evolved over time?,How do researchers in Requirements Engineering ensure the consistency of their data analysis process?
71,"On which levels of sophistication are the theories from SE and RE? (level 1, level 2, or level 3 defined in Sjøberg et al. [1])",What are the key considerations when selecting appropriate visualization techniques for data presentation in Requirements Engineering studies?
72,What is the proportion of each of the three levels of sophistication for theories from SE and RE?,How do researchers in Requirements Engineering address the issue of data validity in their studies?
73,How has the proportion of each of the three levels of sophistication for theories from SE and RE evolved over time?,What are the implications of using machine learning algorithms in analyzing data in Requirements Engineering research?
74,"Do the authors use standards to describe the theories incorporated (used, tested, modified, formulated)?",How do researchers in Requirements Engineering ensure the transparency of their data analysis process?
75,How often are standards used to describe the theories incorporated?,What are the consequences of using inappropriate validation techniques in Requirements Engineering studies?
76,How has the use of standards to describe the theories incorporated evolved over time?,How do researchers in Requirements Engineering address the issue of publication bias in their research?
77,Do the authors refer to a reference (website or systematic review) that systematizes and characterizes the theory incorporated?,What are the key considerations for conducting replication studies in Requirements Engineering research?
