,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How has the focus of empirical research in Requirements Engineering evolved over time?,0.3443
1,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,Which research methods are commonly used in empirical research in Requirements Engineering?,0.586
2,How often are standards used to describe the theories incorporated?,What is the role of theories in guiding empirical research in Requirements Engineering?,0.4654
3,How many different empirical methods are used per publication?,Which research methods are commonly used in empirical research in Requirements Engineering?,0.5901
4,Have the authors done a systematic review of related work?,What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,0.5325
5,How has the the reporting of the population evolved over time?,What are the best practices for reporting empirical research findings in Requirements Engineering?,0.2775
6,Does the research design allow for efficient reuse of study (results) by other researchers?,What are the factors influencing the choice of research design in Requirements Engineering studies?,0.425
7,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,0.6904
8,How often are which empirical methods used over time?,Which research methods are commonly used in empirical research in Requirements Engineering?,0.5713
9,"How has building on previous research data and results, including from other disciplines, evolved over time?",How has the focus of empirical research in Requirements Engineering evolved over time?,0.4689
10,How often are those who conduct the studies also the authors of the papers?,How do researchers in Requirements Engineering address the issue of publication bias in their research?,0.3987
11,How often are which empirical methods used?,Which research methods are commonly used in empirical research in Requirements Engineering?,0.6155
12,"Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?",What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,0.5384
13,"How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?",What role does data analysis play in empirical research in Requirements Engineering?,0.4662
14,How do the authors justify the selection and combination of empirical methods and design elements?,Which research methods are commonly used in empirical research in Requirements Engineering?,0.6038
15,How has the reporting of the subjects evolved over time?,How has the focus of empirical research in Requirements Engineering evolved over time?,0.3853
16,Do the authors use multiple digital libraries including publications from SE and RE and related disciplines for (systematic literature) reviews?,What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,0.4333
17,Do the authors report the selected context of their study with specific characteristics?,How do researchers ensure the objectivity of their findings in Requirements Engineering studies?,0.5211
18,How has the reporting of the tasks evolved over time?,How has the focus of empirical research in Requirements Engineering evolved over time?,0.4569
19,"Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users, such as policy-makers, practitioners, and the general public?",What are the advantages of using systematic reviews in synthesizing empirical research in Requirements Engineering?,0.4508
20,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,What are the key factors influencing the choice of research methods in Requirements Engineering studies?,0.4411
21,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,How do researchers in Requirements Engineering ensure the validity of their empirical studies?,0.5292
22,What types of threats to validity do the authors report?,How do researchers in Requirements Engineering address threats to construct validity?,0.5676
23,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,How has the focus of empirical research in Requirements Engineering evolved over time?,0.5575
24,How do the authors justify preventing bias in the study results?,How do researchers in Requirements Engineering mitigate the influence of researcher bias in their studies?,0.6187
25,How often are which statistical methods used?,Which research methods are commonly used in empirical research in Requirements Engineering?,0.4994
26,How has the number of empirical methods used per publication evolved over time?,Which research methods are commonly used in empirical research in Requirements Engineering?,0.5536
27,"For which purpose do authors incorporate theories into their studies (use, testing, modification, formulation)?",What is the role of theories in guiding empirical research in Requirements Engineering?,0.5712
28,How have the proportions of case studies and action research in the empirical methods used evolved over time?,What are the advantages of using case studies in Requirements Engineering research?,0.5888
