,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,Who are the pioneers in Requirements Engineering research?,0.2982
1,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,What theoretical frameworks are most commonly applied in Requirements Engineering research?,0.4705
2,How often are standards used to describe the theories incorporated?,What are the most influential recent theories in Requirements Engineering?,0.4269
3,How many different empirical methods are used per publication?,What statistical techniques are most commonly used in Requirements Engineering studies?,0.4595
4,Have the authors done a systematic review of related work?,What are the most comprehensive systematic reviews in the field of Requirements Engineering?,0.5421
5,How has the the reporting of the population evolved over time?,How are user stories analyzed in academic literature?,0.2525
6,Does the research design allow for efficient reuse of study (results) by other researchers?,Which authors collaborate frequently on Requirements Engineering research?,0.3981
7,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",What are the most comprehensive systematic reviews in the field of Requirements Engineering?,0.5383
8,How often are which empirical methods used over time?,What statistical techniques are most commonly used in Requirements Engineering studies?,0.4645
9,"How has building on previous research data and results, including from other disciplines, evolved over time?",How has the focus of Requirements Engineering research shifted over the last decade?,0.4341
10,How often are those who conduct the studies also the authors of the papers?,Which authors collaborate frequently on Requirements Engineering research?,0.4857
11,How often are which empirical methods used?,What statistical techniques are most commonly used in Requirements Engineering studies?,0.4781
12,"Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?",What are the most comprehensive systematic reviews in the field of Requirements Engineering?,0.5497
13,"How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?",How has the focus of Requirements Engineering research shifted over the last decade?,0.3732
14,How do the authors justify the selection and combination of empirical methods and design elements?,Which studies have used experimental methodologies in Requirements Engineering?,0.5012
15,How has the reporting of the subjects evolved over time?,How are user stories analyzed in academic literature?,0.4392
16,Do the authors use multiple digital libraries including publications from SE and RE and related disciplines for (systematic literature) reviews?,Which authors collaborate frequently on Requirements Engineering research?,0.4254
17,Do the authors report the selected context of their study with specific characteristics?,How are user stories analyzed in academic literature?,0.5175
18,How has the reporting of the tasks evolved over time?,How has the focus of Requirements Engineering research shifted over the last decade?,0.4056
