,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How have empirical methods in RE evolved over the years?,0.5069
1,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,What are the defining characteristics of empirical RE?,0.6621
2,How often are standards used to describe the theories incorporated?,What new theories have emerged from empirical RE studies?,0.4579
3,How many different empirical methods are used per publication?,What statistical methods are most commonly used in empirical RE?,0.7382
4,Have the authors done a systematic review of related work?,What is the role of peer reviews in empirical RE studies?,0.4587
5,How has the the reporting of the population evolved over time?,What are the main dissemination channels for empirical RE findings?,0.4153
6,Does the research design allow for efficient reuse of study (results) by other researchers?,What are the common pitfalls in designing empirical RE studies?,0.5485
7,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",What methodologies are used to ensure the quality of empirical RE studies?,0.6564
8,How often are which empirical methods used over time?,How have empirical methods in RE evolved over the years?,0.8066
9,"How has building on previous research data and results, including from other disciplines, evolved over time?",How have empirical methods in RE evolved over the years?,0.6349
10,How often are those who conduct the studies also the authors of the papers?,What are the typical time frames involved in conducting empirical RE studies?,0.4547
11,How often are which empirical methods used?,What statistical methods are most commonly used in empirical RE?,0.7922
12,"Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?",What is the role of peer reviews in empirical RE studies?,0.482
13,"How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?",How have empirical methods in RE evolved over the years?,0.6227
14,How do the authors justify the selection and combination of empirical methods and design elements?,How have empirical methods in RE evolved over the years?,0.7017
15,How has the reporting of the subjects evolved over time?,What are the main dissemination channels for empirical RE findings?,0.4632
16,Do the authors use multiple digital libraries including publications from SE and RE and related disciplines for (systematic literature) reviews?,What is the role of peer reviews in empirical RE studies?,0.4952
17,Do the authors report the selected context of their study with specific characteristics?,What are the most controversial findings from empirical RE studies in recent years?,0.5075
18,How has the reporting of the tasks evolved over time?,What tools and technologies are being developed based on empirical RE findings?,0.4925
19,"Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users, such as policy-makers, practitioners, and the general public?",What tools and technologies are being developed based on empirical RE findings?,0.4997
20,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,What are the impacts of technological advancements on empirical RE methods?,0.5703
21,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,What methodologies are used to ensure the quality of empirical RE studies?,0.6699
22,What types of threats to validity do the authors report?,What are the most controversial findings from empirical RE studies in recent years?,0.4979
23,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,How do theoretical frameworks influence empirical RE methodologies?,0.5394
24,How do the authors justify preventing bias in the study results?,What key challenges do researchers face in empirical RE according to recent studies?,0.5296
25,How often are which statistical methods used?,What statistical methods are most commonly used in empirical RE?,0.6999
26,How has the number of empirical methods used per publication evolved over time?,How have empirical methods in RE evolved over the years?,0.8098
27,How have the proportions of case studies and action research in the empirical methods used evolved over time?,How have empirical methods in RE evolved over the years?,0.6508
28,"For which purpose do authors incorporate theories into their studies (use, testing, modification, formulation)?",What new theories have emerged from empirical RE studies?,0.5426
29,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,What methodologies are used to ensure the quality of empirical RE studies?,0.6177
30,How has the use of statistical methods evolved over time?,How have empirical methods in RE evolved over the years?,0.6931
31,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,What new theories have emerged from empirical RE studies?,0.6451
32,"How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?",What are the most controversial findings from empirical RE studies in recent years?,0.5684
33,How has the use of language (academic vs. plain) in scientific publications evolved over time?,How have empirical methods in RE evolved over the years?,0.4506
34,Do the authors refer to a reference (website or systematic review) that systematizes and characterizes the theory incorporated?,What new theories have emerged from empirical RE studies?,0.4612
35,Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users?,What tools and technologies are being developed based on empirical RE findings?,0.4969
